,pl_hostname,pl_letter,pl_disc,ra,dec,pl_trandep,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranflag,pl_trandur,pl_pnum,pl_k2flag,pl_kepflag,pl_facility,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orblper,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,st_teff,st_tefferr1,st_tefferr2,st_optmag,st_j,st_h,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_eqt,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_eccen,pl_eccenerr1,pl_eccenerr2
147,Kepler-107,e,2014,297.028248,48.208611,,2454971.77998,0.00134,-0.00134,1,0.2745,4,0,1,Kepler,,,,,,,,1.41,0.05,-0.05,5851.0,75.0,-75.0,12.487,11.392000000000001,11.114,0.123,,,0.308,0.022000000000000002,-0.022000000000000002,0.037,,,,14.749049,3.4e-05,-3.4e-05,0.02,0.18,-0.02
148,Kepler-108,b,2014,294.559169,46.062325,,2454974.9112299997,0.00066,-0.00066,1,0.4699,2,0,1,Kepler,,,,,,,,2.19,0.12,-0.12,5854.0,92.0,-92.0,12.654000000000002,11.43,11.065,0.292,,,0.772,0.043,-0.043,0.176,,,,49.183921,5.4e-05,-5.4e-05,0.22,0.19,-0.12
149,Kepler-108,c,2014,294.559169,46.062325,,2455145.67323,0.00255,-0.00255,1,0.6542,2,0,1,Kepler,,,,,,,,2.19,0.12,-0.12,5854.0,92.0,-92.0,12.654000000000002,11.43,11.065,0.721,,,0.73,0.045,-0.045,0.16,,,,190.323494,0.000988,-0.000988,0.04,0.19,-0.04
150,Kepler-109,b,2014,290.392721,40.284875,,2454955.97755,,,1,,2,0,1,Kepler,,,,,1.04,0.06,-0.06,1.32,0.04,-0.04,5952.0,75.0,-75.0,12.365,11.314,11.046,,,,0.21100000000000002,0.006,-0.006,0.022969999999999997,,,,6.48163,,,0.21,0.09,-0.21
151,Kepler-109,c,2014,290.392721,40.284875,,2454970.5725,,,1,,2,0,1,Kepler,,,,,1.04,0.06,-0.06,1.32,0.04,-0.04,5952.0,75.0,-75.0,12.365,11.314,11.046,,,,0.225,0.006,-0.006,0.06859,,,,21.2227,,,0.03,0.19,-0.03
152,Kepler-110,b,2014,292.92913300000004,48.602814,,2454970.12296,0.0016600000000000002,-0.0016600000000000002,1,0.1565,2,0,1,Kepler,,,,,,,,1.15,0.23,-0.23,5960.0,153.0,-153.0,12.935,11.919,11.658,0.107,,,0.163,0.032,-0.032,0.0126,,,,12.691112,3.6e-05,-3.6e-05,,,
153,Kepler-110,c,2014,292.92913300000004,48.602814,,2454975.82056,0.0017699999999999999,-0.0017699999999999999,1,0.201,2,0,1,Kepler,,,,,,,,1.15,0.23,-0.23,5960.0,153.0,-153.0,12.935,11.919,11.658,0.198,,,0.19699999999999998,0.039,-0.039,0.0174,,,,31.719775,0.000104,-0.000104,,,
154,Kepler-111,b,2014,291.65317000000005,44.688274,,2454974.35574,0.00106,-0.00106,1,0.1154,2,0,1,Kepler,,,,,,,,1.16,0.14,-0.14,5952.0,74.0,-74.0,13.492,12.412,12.110999999999999,0.046,,,0.141,0.018000000000000002,-0.018000000000000002,0.00982,,,,3.341815,6e-06,-6e-06,,,
155,Kepler-75,b,2013,291.13759300000004,36.577386,,2455640.4403,0.00011999999999999999,-0.00011999999999999999,1,0.0866,1,0,1,Kepler,89.12,0.51,-0.64,63.5,0.91,0.04,-0.04,0.89,0.02,-0.02,5200.0,100.0,-100.0,15.264000000000001,13.665,13.262,0.0818,0.0012,-0.0012,1.05,0.03,-0.03,10.1,0.4,-0.4,767.0,8.8849116,3.4e-06,-3.4e-06,0.57,0.01,-0.01
156,Kepler-76,b,2013,294.192118,39.619003,,2454966.54841,1e-05,-2e-05,1,,1,0,1,Kepler,77.55,0.2,-0.17,,1.2,0.2,-0.2,1.32,0.08,-0.08,6409.0,95.0,-95.0,13.308,12.343,12.134,0.0274,0.002,-0.0019,1.36,0.12,-0.12,2.01,0.37,-0.35,2140.0,1.5449298,4e-07,-4e-07,0.078,,
