,pl_hostname,pl_letter,pl_disc,ra,dec,pl_trandep,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranflag,pl_trandur,pl_pnum,pl_k2flag,pl_kepflag,pl_facility,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orblper,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,st_teff,st_tefferr1,st_tefferr2,st_optmag,st_j,st_h,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_eqt,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_eccen,pl_eccenerr1,pl_eccenerr2
780,HAT-P-43,b,2012,128.925737,10.206653,,2455997.37106,0.00032,-0.00032,1,0.1354,1,0,0,HATNet,88.7,0.7,-0.7,,1.05,0.03,-0.04,1.1,0.04,-0.02,5645.0,74.0,-74.0,13.356,12.145999999999999,11.809000000000001,0.0443,0.0004,-0.0006,1.281,0.062,-0.033,0.662,0.06,-0.06,1361.0,3.332687,1.5e-05,-1.5e-05,0.0,,
781,HAT-P-44,b,2014,213.14407400000002,47.014687,,2455696.93695,0.00023999999999999998,-0.00023999999999999998,1,0.1302,2,0,0,HATNet,89.1,0.4,-0.4,113.0,0.94,0.04,-0.04,0.95,0.08,-0.04,5295.0,100.0,-100.0,,11.729000000000001,11.36,0.0507,0.0007,-0.0007,1.242,0.106,-0.051,0.352,0.029,-0.029,1108.0,4.301219,1.9e-05,-1.9e-05,0.044,0.052,-0.052
783,HAT-P-45,b,2014,274.373238,-3.381036,,2455729.98612,0.00041,-0.00041,1,0.1436,1,0,0,HATNet,87.8,0.9,-0.9,146.0,1.26,0.06,-0.06,1.32,0.15,-0.07,6330.0,100.0,-100.0,,10.73,10.35,0.0452,0.0007,-0.0007,1.426,0.175,-0.087,0.892,0.137,-0.099,1652.0,3.128992,2.1e-05,-2.1e-05,0.049,0.063,-0.063
784,HAT-P-46,b,2014,270.44420099999996,-2.9709470000000002,,2455701.33646,0.00047000000000000004,-0.00047000000000000004,1,0.1291,1,0,0,HATNet,85.5,0.8,-2.3,70.0,1.28,0.1,-0.06,1.4,0.29,-0.14,6120.0,100.0,-100.0,,10.33,9.972000000000001,0.0577,0.0014,-0.0009,1.284,0.271,-0.133,0.493,0.082,-0.052,1458.0,4.463129,4.8e-05,-4.8e-05,0.123,0.12,-0.12
785,HAT-P-49,b,2014,305.441397,26.692652000000002,0.63,,,,1,,1,0,0,HATNet,86.2,1.7,-1.7,,2.22,0.83,-0.83,2.06,0.23,-0.23,6820.0,52.0,-52.0,10.325999999999999,9.55,9.399,0.04378,0.00047999999999999996,-0.00049,1.59,0.18,-0.18,2.2,0.59,-0.59,2131.0,2.69155,6e-06,-6e-06,0.0,,
786,HAT-P-54,b,2015,99.898003,25.48254,,2456299.3037,0.00023999999999999998,-0.00023999999999999998,1,,1,0,0,HATNet,87.04,0.084,-0.084,,0.65,0.02,-0.02,0.62,0.01,-0.01,4390.0,50.0,-50.0,13.6,11.145,10.487,0.04117,0.00043,-0.00043,0.9440000000000001,0.027999999999999997,-0.027999999999999997,0.76,0.032,-0.032,818.0,3.799847,1.4e-05,-1.4e-05,0.074,,
787,HATS-1,b,2012,175.525336,-23.354836,,2455241.2872200003,0.0007099999999999999,-0.0007099999999999999,1,0.1007,1,0,0,HATSouth,85.6,0.6,-1.4,,0.99,0.05,,1.04,0.13,,5870.0,100.0,,12.052999999999999,10.924000000000001,10.634,0.0444,0.0008,-0.0008,1.3019999999999998,0.162,-0.098,1.855,0.262,-0.196,1359.0,3.446459,4e-06,-4e-06,0.12,0.092,-0.092
788,HATS-2,b,2013,176.739094,-22.562992,,2455954.5857599997,9e-05,-9e-05,1,0.0862,1,0,0,HATSouth,87.2,0.7,-0.7,0.0,0.88,0.04,-0.04,0.9,0.02,-0.02,5227.0,95.0,-95.0,13.562000000000001,11.905999999999999,11.475,0.023,0.0003,-0.0003,1.168,0.03,-0.03,1.345,0.15,-0.15,1577.0,1.354133,1e-06,-1e-06,0.0,,
789,HATS-3,b,2013,312.45743999999996,-24.428793,,2456155.96734,0.00014,-0.00014,1,0.1494,1,0,0,HATSouth,86.2,0.3,-0.3,,1.21,0.04,-0.04,1.4,0.03,-0.03,6351.0,76.0,-76.0,12.44,10.98,10.719000000000001,0.0485,0.0004,-0.0006,1.381,0.035,-0.035,1.071,0.136,-0.136,1648.0,3.547851,5e-06,-5e-06,0.0,,
790,HATS-4,b,2014,94.112075,-22.546885,,2455808.34095,0.00036,-0.00036,1,0.1053,1,0,0,HATSouth,88.5,0.6,-0.6,275.0,1.0,0.02,-0.02,0.93,0.02,-0.02,5403.0,50.0,-50.0,13.459000000000001,12.032,11.697000000000001,0.0362,0.0002,-0.0002,1.02,0.037000000000000005,-0.037000000000000005,1.323,0.028,-0.028,1315.0,2.516729,2e-06,-2e-06,0.013,0.016,-0.016
791,HATS-5,b,2014,67.222871,-21.481916000000002,,2456273.79068,0.0001,-0.0001,1,0.1244,1,0,0,HATSouth,89.3,0.3,-0.3,204.0,0.94,0.03,-0.03,0.87,0.02,-0.02,5304.0,50.0,-50.0,12.63,11.199000000000002,10.772,0.0542,0.0006,-0.0006,0.912,0.025,-0.025,0.237,0.012,-0.012,1025.0,4.763387,1e-05,-1e-05,0.019,0.019,-0.019
792,HATS-6,b,2015,88.14679699999999,-19.031655999999998,3.23,2456643.74058,8.4e-05,-8.4e-05,1,0.08504,1,0,0,HATSouth,88.21,0.084,-0.084,,0.57,0.02,-0.03,0.57,0.01,-0.01,3724.0,18.0,-18.0,15.16,12.046,11.397,0.03623,0.00042,-0.00057,0.998,0.019,-0.019,0.319,0.07,-0.07,713.0,3.3252725,2.1e-06,-2.1e-06,0.0,,
813,Kepler-55,b,2012,285.168338,44.026466,,2455011.79598,0.0031,-0.0031,1,0.1456,5,0,1,Kepler,,,,,,,,0.62,0.03,-0.03,4503.0,100.0,-100.0,15.790999999999999,13.97,13.359000000000002,,,,0.217,,,1.49,,,,27.9481449,0.00024,-0.00024,,,
814,Kepler-55,c,2012,285.168338,44.026466,,2454971.99284,0.0045,-0.0045,1,0.2109,5,0,1,Kepler,,,,,,,,0.62,0.03,-0.03,4503.0,100.0,-100.0,15.790999999999999,13.97,13.359000000000002,,,,0.19699999999999998,,,1.11,,,,42.1516418,0.00053,-0.00053,,,
815,Kepler-55,d,2014,285.168338,44.026466,,2455003.14912,0.00091,-0.00091,1,0.0685,5,0,1,Kepler,,,,,,,,0.62,0.03,-0.03,4503.0,100.0,-100.0,15.790999999999999,13.97,13.359000000000002,0.029,,,0.142,0.008,-0.008,0.00993,,,,2.211099,4e-06,-4e-06,,,
816,Kepler-55,e,2014,285.168338,44.026466,,2454968.0425400003,0.00224,-0.00224,1,0.0888,5,0,1,Kepler,,,,,,,,0.62,0.03,-0.03,4503.0,100.0,-100.0,15.790999999999999,13.97,13.359000000000002,0.048,,,0.138,0.021,-0.021,0.00951,,,,4.617534,2.1e-05,-2.1e-05,,,
817,Kepler-55,f,2014,285.168338,44.026466,,2454970.91714,0.00265,-0.00265,1,0.0905,5,0,1,Kepler,,,,,,,,0.62,0.03,-0.03,4503.0,100.0,-100.0,15.790999999999999,13.97,13.359000000000002,0.081,,,0.142,0.009000000000000001,-0.009000000000000001,0.00993,,,,10.198545,4.5e-05,-4.5e-05,,,
818,Kepler-56,b,2012,293.758347,41.871869000000004,,2454978.2556,0.0056,-0.0057,1,,3,0,1,Kepler,,,,,1.32,0.13,-0.13,4.23,0.15,-0.15,4840.0,97.0,-97.0,12.44,10.812999999999999,10.33,0.1028,0.0037,-0.0037,0.581,0.026000000000000002,-0.025,0.07,0.012,-0.011,,10.5016,0.0011,-0.001,0.04,0.01,-0.01
819,Kepler-56,c,2012,293.758347,41.871869000000004,,2454978.656,0.0057,-0.0055,1,,3,0,1,Kepler,,,,,1.32,0.13,-0.13,4.23,0.15,-0.15,4840.0,97.0,-97.0,12.44,10.812999999999999,10.33,0.1652,0.0059,-0.0059,0.8740000000000001,0.040999999999999995,-0.040999999999999995,0.57,0.066,-0.06,,21.40239,0.00059,-0.00062,0.0,0.01,-0.01
820,Kepler-57,b,2012,293.641285,44.65704,,2454971.5584,0.001,-0.001,1,0.0466,2,0,1,Kepler,,,,,0.83,,,0.73,,,5145.0,,,14.809000000000001,13.437000000000001,13.022,,,,0.195,,,18.86,,,,5.7293196,1.8e-05,-1.8e-05,,,
821,Kepler-57,c,2012,293.641285,44.65704,,2454966.99083,0.0027,-0.0027,1,0.0711,2,0,1,Kepler,,,,,0.83,,,0.73,,,5145.0,,,14.809000000000001,13.437000000000001,13.022,,,,0.138,,,6.95,,,,11.6092567,8.6e-05,-8.6e-05,,,
822,Kepler-58,b,2012,296.358649,39.115194,,2454969.87048,0.0056,-0.0056,1,0.1832,3,0,1,Kepler,,,,,,,,1.13,0.53,-0.53,6099.0,200.0,-200.0,14.82,13.642999999999999,13.382,,,,0.248,,,1.39,,,,10.2184954,0.00015,-0.00015,,,
823,Kepler-58,c,2012,296.358649,39.115194,,2454965.4320900002,0.0066,-0.0066,1,0.2126,3,0,1,Kepler,,,,,,,,1.13,0.53,-0.53,6099.0,200.0,-200.0,14.82,13.642999999999999,13.382,,,,0.255,,,2.19,,,,15.5741568,0.00027,-0.00027,,,
824,Kepler-58,d,2014,296.358649,39.115194,,2454965.7179900003,0.00903,-0.00903,1,0.2268,3,0,1,Kepler,,,,,,,,1.13,0.53,-0.53,6099.0,200.0,-200.0,14.82,13.642999999999999,13.382,0.236,,,0.262,0.125,-0.125,0.0282,,,,40.101371,0.000612,-0.000612,,,
825,Kepler-59,b,2012,287.03950299999997,46.640128999999995,,2454970.74767,0.011,-0.011,1,0.249,2,0,1,Kepler,,,,,1.04,,,0.94,,,6074.0,,,14.307,13.253,12.974,,,,0.098,,,2.05,,,,11.8681707,0.00036,-0.00036,,,
826,Kepler-59,c,2012,287.03950299999997,46.640128999999995,,2454980.69818,0.0065,-0.0065,1,0.1719,2,0,1,Kepler,,,,,1.04,,,0.94,,,6074.0,,,14.307,13.253,12.974,,,,0.177,,,1.37,,,,17.9801235,0.0003,-0.0003,,,
827,Kepler-60,b,2012,288.96124199999997,42.265011,,2456462.2796,0.0034,-0.0033,1,,3,0,1,Kepler,,,,,1.04,0.08,-0.08,1.26,0.09,-0.09,5905.0,144.0,-144.0,13.959000000000001,12.804,12.569,0.07497000000000001,,,0.153,0.012,-0.012,0.01318,0.00176,-0.00164,,7.1334,0.0001,-0.0001,0.0108,,
828,Kepler-60,c,2012,288.96124199999997,42.265011,,2456466.5827,0.0032,-0.0032,1,,3,0,1,Kepler,,,,,1.04,0.08,-0.08,1.26,0.09,-0.09,5905.0,144.0,-144.0,13.959000000000001,12.804,12.569,0.08701,,,0.17,0.013000000000000001,-0.013000000000000001,0.01211,0.00255,-0.00255,,8.9187,0.0002,-0.0002,0.0291,,
829,Kepler-60,d,2012,288.96124199999997,42.265011,,2456460.2779,0.0038,-0.0037,1,,3,0,1,Kepler,,,,,1.04,0.08,-0.08,1.26,0.09,-0.09,5905.0,144.0,-144.0,13.959000000000001,12.804,12.569,0.10547999999999999,,,0.17800000000000002,0.013999999999999999,-0.013999999999999999,0.013090000000000001,0.00264,-0.00236,,11.8981,0.0002,-0.0002,0.0151,,
830,CoRoT-28,b,2015,278.688338,5.57373,,2455755.8466,0.0029,-0.0029,1,0.2375,1,0,0,CoRoT,88.1,0.8,-0.8,126.0,1.01,0.14,-0.14,1.78,0.11,-0.11,5150.0,100.0,-100.0,,11.600999999999999,11.142999999999999,0.0603,0.005,-0.005,0.955,0.066,-0.066,0.484,0.087,-0.087,,5.20851,0.00038,-0.00038,0.047,0.055,-0.038
831,CoRoT-29,b,2015,278.90210299999995,6.4796510000000005,,2455753.115,0.001,-0.001,1,0.09125,1,0,0,CoRoT,87.3,2.7,-2.7,87.0,0.97,0.14,-0.14,0.9,0.12,-0.12,5260.0,100.0,-100.0,,13.565,13.12,0.0386,0.0059,-0.0059,0.9,0.16,-0.16,0.85,0.2,-0.2,,2.85057,6e-06,-6e-06,0.082,0.081,-0.081
834,HAT-P-19,b,2010,9.516742,34.711575,,2455091.53417,0.00033999999999999997,-0.00033999999999999997,1,0.1182,1,0,0,HATNet,88.2,0.4,-0.4,256.0,0.84,0.04,-0.04,0.82,0.05,-0.05,4990.0,130.0,-130.0,12.901,11.095,10.644,0.0466,0.0008,-0.0008,1.1320000000000001,0.07200000000000001,-0.07200000000000001,0.292,0.018,-0.018,1010.0,4.008778,6e-06,-6e-06,0.067,0.042,-0.042
835,HAT-P-20,b,2010,111.91646899999999,24.33663,0.9898,2455080.92661,0.00021,-0.00021,1,0.077,1,0,0,HATNet,86.8,0.2,-0.2,317.0,0.76,0.03,-0.03,0.69,0.02,-0.02,4595.0,80.0,-80.0,11.339,9.276,8.743,0.0361,0.0005,-0.0005,0.867,0.033,-0.033,7.246,0.187,-0.187,970.0,2.875317,4e-06,-4e-06,0.015,0.005,-0.005
836,HAT-P-21,b,2010,171.274955,41.027954,0.9,,,,1,,1,0,0,HATNet,87.2,0.7,-0.7,,1.24,0.6,-0.6,1.21,0.17,-0.17,5588.0,80.0,-80.0,11.685,10.503,10.154,0.0494,0.0007,-0.0007,1.11,0.16,-0.16,4.87,1.57,-1.57,1283.0,4.12448,7e-06,-7e-06,0.23,0.02,-0.02
837,HAT-P-22,b,2010,155.681719,50.128345,1.1,,,,1,,1,0,0,HATNet,86.9,0.55,-0.55,,1.13,0.22,-0.22,1.11,0.05,-0.05,5302.0,80.0,-80.0,9.732000000000001,8.293,7.935,0.0414,0.0005,-0.0005,1.15,0.19,-0.19,2.47,0.32,-0.32,1463.0,3.21222,9e-06,-9e-06,0.02,0.01,-0.01
838,HAT-P-23,b,2010,306.123854,16.762152,1.4,,,,1,,1,0,0,HATNet,85.1,1.5,-1.5,,0.58,0.38,-0.38,0.96,0.2,-0.2,5905.0,80.0,-80.0,12.432,11.103,10.845999999999998,0.0232,0.0002,-0.0002,1.09,0.23,-0.23,1.34,0.59,-0.59,1951.0,1.21288,2e-06,-2e-06,0.11,0.04,-0.04
839,HAT-P-24,b,2010,108.82505800000001,14.262599,0.94,,,,1,,1,0,0,HATNet,88.6,0.7,-0.7,,1.37,0.69,-0.69,1.38,0.22,-0.22,6373.0,80.0,-80.0,11.818,10.797,10.589,0.04651,0.00055,-0.00056,1.3,0.21,-0.21,0.75,0.25,-0.25,1637.0,3.35524,7e-06,-7e-06,0.07,0.02,-0.02
840,HAT-P-25,b,2010,48.435419,25.197405,0.0161,,,,1,0.11721,1,0,0,HATNet,88.22,0.45,-0.36,287.0,1.01,0.05,-0.05,0.92,0.03,-0.03,5519.0,78.0,-76.0,13.19,11.319,10.908,0.0466,0.00081,-0.0008,1.135,0.048,-0.048,0.569,0.023,-0.022,1182.0,3.65281514,7.6e-07,-7.5e-07,0.023,0.022,-0.014
841,HAT-P-26,b,2010,213.156383,4.059997,0.54,,,,1,,1,0,0,HATNet,88.6,0.7,-0.7,,1.12,0.36,-0.36,0.87,0.05,-0.05,5079.0,88.0,-88.0,11.744000000000002,10.08,9.685,0.0479,0.0006,-0.0006,0.63,0.04,-0.04,0.07,0.02,-0.02,1001.0,4.23452,1.5e-05,-1.5e-05,0.12,0.06,-0.06
842,HAT-P-27,b,2011,222.76743599999998,5.947368,1.43,2455407.9088,0.0002,-0.0002,1,0.07,1,0,0,HATNet,85.0,0.2,-0.2,0.0,0.94,0.04,-0.04,0.9,0.05,-0.04,5300.0,90.0,-90.0,,10.626,10.249,0.04,0.0008,-0.0008,1.02,0.07,-0.06,0.62,0.03,-0.03,,3.039577,5e-06,-6e-06,0.0,,
843,HAT-P-28,b,2011,13.000766,34.728413,1.4719,2455417.59832,0.00053,-0.00053,1,0.1341,1,0,0,HATNet,88.0,0.9,-0.9,233.0,1.02,0.05,-0.05,1.1,0.09,-0.07,5680.0,90.0,-90.0,13.03,11.561,11.206,0.0434,0.0007,-0.0007,1.212,0.113,-0.08199999999999999,0.626,0.037,-0.037,1384.0,3.257215,7e-06,-7e-06,0.051,0.033,-0.033
844,HAT-P-29,b,2011,33.131142,51.778759,0.86,,,,1,,1,0,0,HATNet,87.1,0.6,-0.6,,1.45,0.6,-0.6,1.3,0.14,-0.14,6087.0,88.0,-88.0,11.9,10.648,10.395,0.0667,0.0008,-0.0008,1.17,0.13,-0.13,0.88,0.25,-0.25,1260.0,5.72319,4.9e-05,-4.9e-05,0.09,0.05,-0.05
845,HAT-P-30,b,2011,123.949894,5.836719,1.3,,,,1,,1,0,0,HATNet,83.6,0.04,-0.04,,1.55,0.51,-0.51,1.31,0.13,-0.13,6304.0,88.0,-88.0,10.419,9.442,9.22,0.0419,0.00045999999999999996,-0.00045999999999999996,1.44,0.15,-0.15,0.83,0.18,-0.18,1630.0,2.8106,5e-06,-5e-06,0.04,0.02,-0.02
846,HAT-P-31,b,2011,271.53770499999996,26.426662,0.65,,,,1,,1,0,0,HATNet,87.1,2.25,-2.25,,1.31,0.73,-0.73,1.39,0.11,-0.11,6065.0,100.0,-100.0,11.66,10.423,10.128,0.061,0.0013,-0.0011,1.09,0.15,-0.15,2.27,0.84,-0.84,1450.0,5.00542,9.1e-05,-9.1e-05,0.25,0.0,0.0
847,HAT-P-32,b,2011,31.042848,46.687836,2.3,,,,1,,1,0,0,HATNet,88.9,0.4,-0.4,,1.09,0.28,-0.28,1.19,0.1,-0.1,6207.0,88.0,-88.0,11.289000000000001,10.251,10.024,0.0343,0.0004,-0.0004,1.75,0.14,-0.14,0.83,0.21,-0.21,1779.0,2.15001,1e-06,-1e-06,0.0,,
882,Kepler-61,b,2013,295.304508,42.47529,,2454984.188,0.0029,-0.0024,1,0.2019,1,0,1,Kepler,89.8,,,,0.64,0.04,-0.04,0.62,0.02,-0.05,4017.0,68.0,-150.0,14.995,13.078,12.425999999999998,0.24861,0.009640000000000001,-0.009640000000000001,0.192,0.012,-0.012,0.0166,,,273.0,59.87756,0.0002,-0.0002,0.25,,
883,Kepler-62,b,2013,283.21274700000004,45.349865,0.043,2455003.9189,0.0009,-0.0009,1,0.0963,5,0,1,Kepler,89.2,0.4,-0.4,,0.69,0.02,-0.02,0.64,0.02,-0.02,4925.0,70.0,-70.0,13.725,12.255999999999998,11.739,0.0553,0.0005,-0.0005,0.11699999999999999,0.004,-0.004,0.03,,,750.0,5.714932,9e-06,-9e-06,,,
884,Kepler-62,c,2013,283.21274700000004,45.349865,0.007,2454967.651,0.008,-0.008,1,0.1258,5,0,1,Kepler,89.7,0.2,-0.2,,0.69,0.02,-0.02,0.64,0.02,-0.02,4925.0,70.0,-70.0,13.725,12.255999999999998,11.739,0.0929,0.0009,-0.0009,0.048,0.003,-0.003,0.013,,,578.0,12.4417,0.0001,-0.0001,,,
885,Kepler-62,d,2013,283.21274700000004,45.349865,0.092,2455013.8117,0.0008,-0.0008,1,0.1238,5,0,1,Kepler,89.7,0.3,-0.3,,0.69,0.02,-0.02,0.64,0.02,-0.02,4925.0,70.0,-70.0,13.725,12.255999999999998,11.739,0.12,0.001,-0.001,0.174,0.006,-0.006,0.044,,,510.0,18.16406,2e-05,-2e-05,,,
886,Kepler-62,e,2013,283.21274700000004,45.349865,0.07,2454983.404,0.003,-0.003,1,0.2883,5,0,1,Kepler,89.98,0.02,-0.02,,0.69,0.02,-0.02,0.64,0.02,-0.02,4925.0,70.0,-70.0,13.725,12.255999999999998,11.739,0.427,0.004,-0.004,0.14400000000000002,0.004,-0.004,0.113,,,270.0,122.3874,0.0008,-0.0008,,,
887,Kepler-62,f,2013,283.21274700000004,45.349865,0.042,2455422.71,0.006,-0.006,1,0.3108,5,0,1,Kepler,89.9,0.03,-0.03,,0.69,0.02,-0.02,0.64,0.02,-0.02,4925.0,70.0,-70.0,13.725,12.255999999999998,11.739,0.718,0.007,-0.007,0.126,0.006,-0.006,0.11,,,208.0,267.291,0.005,-0.005,,,
888,Kepler-63,b,2013,289.226179,49.548203,,2455010.84307,5e-05,-5e-05,1,0.121,1,0,1,Kepler,87.806,0.018000000000000002,-0.019,,0.98,0.04,-0.04,0.9,0.03,-0.02,5576.0,50.0,-50.0,12.02,10.399000000000001,10.096,0.08,0.002,-0.002,0.545,0.018000000000000002,-0.018000000000000002,0.378,,,,9.4341505,1e-06,-1e-06,0.45,,
889,PH1,b,2012,298.215108,39.955104,,2455074.49,0.052,-0.036,1,,1,0,1,Kepler,90.05,0.053,-0.053,341.88,1.53,0.09,-0.09,1.73,0.04,-0.04,6407.0,150.0,-150.0,13.718,12.714,12.460999999999999,0.652,0.012,-0.012,0.551,0.015,-0.015,0.531,,,481.0,138.317,0.04,-0.027,0.0702,0.0029,-0.0039
890,Kepler-65,b,2012,288.6887,41.151173,0.0085,2454966.499,0.0013,-0.0013,1,0.1282,3,0,1,Kepler,,,,,1.25,0.06,-0.06,1.41,0.03,-0.03,6211.0,66.0,-66.0,11.017999999999999,10.066,9.852,0.035,0.002,-0.001,0.127,0.003,-0.003,0.008190000000000001,,,,2.15491,5e-06,-5e-06,0.02,0.17,-0.02
891,Kepler-65,c,2012,288.6887,41.151173,0.0282,2454965.0391,0.0003,-0.0003,1,0.1637,3,0,1,Kepler,,,,,1.25,0.06,-0.06,1.41,0.03,-0.03,6211.0,66.0,-66.0,11.017999999999999,10.066,9.852,0.068,0.004,-0.002,0.23,0.005,-0.005,0.084,0.064,-0.058,,5.859944,3e-06,-3e-06,0.08,0.12,-0.08
892,Kepler-65,d,2012,288.6887,41.151173,0.0098,2454970.9905,0.0016,-0.0016,1,0.1708,3,0,1,Kepler,,,,,1.25,0.06,-0.06,1.41,0.03,-0.03,6211.0,66.0,-66.0,11.017999999999999,10.066,9.852,0.084,0.006,-0.002,0.136,0.004,-0.004,0.0092,,,,8.13123,2e-05,-2e-05,0.1,0.23,-0.1
893,Kepler-66,b,2013,293.981569,46.687748,,2454967.4854,0.0025,-0.0025,1,,1,0,1,Kepler,,,,,1.04,0.04,-0.04,0.97,0.04,-0.04,5962.0,79.0,-79.0,15.3,14.020999999999999,13.689,0.1352,0.0017,-0.0017,0.25,0.013999999999999999,-0.013999999999999999,0.0259,,,,17.815815,7.5e-05,-7.5e-05,,,
894,Kepler-67,b,2013,294.15333599999997,46.166438,,2454966.9855,0.0048,-0.0048,1,,1,0,1,Kepler,,,,,0.86,0.03,-0.03,0.78,0.03,-0.03,5331.0,63.0,-63.0,16.4,14.741,14.341,0.1171,0.0015,-0.0015,0.262,0.013999999999999999,-0.013999999999999999,0.0282,,,,15.7259,0.00011,-0.00011,,,
895,Kepler-68,b,2013,291.032305,49.040271999999995,0.029,,,,1,,3,0,1,Kepler,87.6,0.9,-0.9,,1.19,0.18,-0.18,1.28,0.06,-0.06,5793.0,74.0,-74.0,9.99,8.975,8.662,0.0617,0.00056,-0.00056,0.21,0.06,-0.06,0.02,0.01,-0.01,1280.0,5.39876,4e-06,-4e-06,0.0,,
896,Kepler-68,c,2013,291.032305,49.040271999999995,,2454969.38025,,,1,,3,0,1,Kepler,,,,,1.19,0.18,-0.18,1.28,0.06,-0.06,5793.0,74.0,-74.0,9.99,8.975,8.662,0.09059,0.00082,-0.00082,0.08900000000000001,0.002,-0.002,0.02265,,,,9.60504,,,0.42,0.41,-0.1
898,Kepler-69,b,2013,293.260938,44.868896,0.0597,2454970.8414,0.0016,-0.0016,1,,2,0,1,Kepler,89.62,0.26,-0.45,,0.81,0.09,-0.08,0.93,0.18,-0.12,5638.0,168.0,-168.0,14.0,12.630999999999998,12.284,0.094,0.023,-0.016,0.2,0.039,-0.026000000000000002,0.0178,,,779.0,13.722341,3.5e-05,-3.6e-05,0.16,0.17,-0.001
899,HAT-P-33,b,2011,113.18421200000002,33.835052000000005,1.1,,,,1,,1,0,0,HATNet,87.2,0.05,-0.05,,1.82,1.45,-1.45,1.79,0.48,-0.48,6446.0,88.0,-88.0,11.187999999999999,10.263,10.061,0.04995,0.00047999999999999996,-0.00049,1.85,0.49,-0.49,0.92,0.5,-0.5,1782.0,3.47447,1e-06,-1e-06,0.0,,
900,HAT-P-34,b,2011,303.195342,18.104868,0.64,,,,1,,1,0,0,HATNet,87.1,1.2,-1.2,,4.26,2.47,-2.47,1.73,0.29,-0.29,6442.0,88.0,-88.0,10.162,9.46,9.322000000000001,0.06774,0.00074,-0.0007599999999999999,1.35,0.23,-0.23,7.01,2.75,-2.75,1520.0,5.45265,1.6e-05,-1.6e-05,0.44,0.03,-0.03
901,HAT-P-35,b,2011,123.25076399999999,4.7870230000000005,0.91,,,,1,,1,0,0,HATNet,87.3,1.0,-1.0,,23.56,97.1,-97.1,3.82,5.25,-5.25,6096.0,88.0,-88.0,12.46,11.357999999999999,11.072000000000001,0.0498,0.0006,-0.0006,3.55,4.87,-4.87,7.52,20.66,-20.66,1581.0,3.64671,2.1e-05,-2.1e-05,0.03,0.02,-0.02
902,Kepler-115,b,2014,297.71184900000003,45.261925,,2454967.72847,0.00305,-0.00305,1,0.0544,2,0,1,Kepler,,,,,,,,1.21,0.23,-0.23,5979.0,132.0,-132.0,13.431,12.315,12.027999999999999,0.036,,,0.09699999999999999,0.019,-0.019,0.0041600000000000005,,,,2.403679,1.2e-05,-1.2e-05,,,
903,Kepler-115,c,2014,297.71184900000003,45.261925,,2454969.73792,0.00132,-0.00132,1,0.1701,2,0,1,Kepler,,,,,,,,1.21,0.23,-0.23,5979.0,132.0,-132.0,13.431,12.315,12.027999999999999,0.087,,,0.23199999999999998,0.045,-0.045,0.0229,,,,8.990889,2.1e-05,-2.1e-05,,,
904,Kepler-116,b,2014,294.74207,43.536834999999996,,2454970.15762,0.0009199999999999999,-0.0009199999999999999,1,0.1516,2,0,1,Kepler,,,,,,,,1.45,0.27,-0.27,6142.0,100.0,-100.0,13.717,12.703,12.485999999999999,0.069,,,0.305,0.057999999999999996,-0.057999999999999996,0.0364,,,,5.968734,9e-06,-9e-06,,,
905,Kepler-116,c,2014,294.74207,43.536834999999996,,2454977.43294,0.00263,-0.00263,1,0.126,2,0,1,Kepler,,,,,,,,1.45,0.27,-0.27,6142.0,100.0,-100.0,13.717,12.703,12.485999999999999,0.116,,,0.205,0.039,-0.039,0.0186,,,,13.07163,5.6e-05,-5.6e-05,,,
906,Kepler-117,b,2014,288.793037,48.040234000000005,,2454978.82204,0.00035,-0.00035,1,0.3024,2,0,1,Kepler,88.74,0.12,-0.12,254.3,1.13,0.13,-0.02,1.61,0.05,-0.05,6150.0,110.0,-110.0,14.274000000000001,13.324000000000002,12.988,0.1445,0.0047,-0.0014,0.7190000000000001,0.024,-0.024,0.094,0.033,-0.033,984.0,18.7959228,7.5e-06,-7.5e-06,0.0493,0.0062,-0.0062
907,Kepler-117,c,2014,288.793037,48.040234000000005,,2454968.63205,0.00025,-0.00025,1,0.4535,2,0,1,Kepler,89.64,0.1,-0.1,305.0,1.13,0.13,-0.02,1.61,0.05,-0.05,6150.0,110.0,-110.0,14.274000000000001,13.324000000000002,12.988,0.2804,0.0092,-0.0028,1.101,0.035,-0.035,1.84,0.18,-0.18,704.0,50.790391,1.4e-05,-1.4e-05,0.0323,0.0033,-0.0033
908,Kepler-118,b,2014,299.213164,41.424824,,2454965.5366599998,0.0045899999999999995,-0.0045899999999999995,1,0.119,2,0,1,Kepler,,,,,,,,1.09,0.49,-0.49,5274.0,200.0,-200.0,14.710999999999999,13.25,12.769,0.073,,,0.175,0.084,-0.084,0.0142,,,,7.518496,5.6e-05,-5.6e-05,,,
