,DEC,EPIC,RA,TIC,sector
114,10.632057000000001,211340040,125.98003999999999,366355413,7
115,10.632057000000001,211340040,125.98003899999999,366355413,7
116,10.632057000000001,211340040,125.98003899999999,366355413,7
117,10.835307,211351144,127.17889,366499366,7
118,10.835307,211351144,127.17889,366499366,7
119,10.835307,211351144,127.17888899999998,366499366,7
120,10.835307,211351144,127.17888899999998,366499366,7
121,10.87433,211353328,127.4557,366528408,7
122,10.87433,211353328,127.4557,366528408,7
123,10.87433,211353328,127.455703,366528408,7
124,10.87433,211353328,127.455703,366528408,7
125,10.942217,211357164,126.528754,366410730,7
126,10.942217,211357164,126.528754,366410730,7
127,10.942217,211357164,126.528755,366410730,7
128,10.942217,211357164,126.528755,366410730,7
129,11.025121,211362093,126.70759,366444455,7
130,11.025121,211362093,126.70759,366444455,7
131,11.053174,211363666,130.019174,443965709,7
132,11.253756,211375850,126.88111,366484839,7
133,11.253756,211375850,126.88111,366484839,7
134,11.262303,211376339,130.9327,443970140,7
135,11.262303,211376339,130.9327,443970140,7
136,11.262303,211376339,130.932692,443970140,7
137,11.262303,211376339,130.932692,443970140,7
138,11.268177,211376702,128.27074,366623285,7
139,11.268177,211376702,128.27074,366623285,7
140,11.268177,211376702,128.270734,366623285,7
141,11.268177,211376702,128.270734,366623285,7
142,11.295655,211378388,127.33309299999999,366527102,7
143,11.295655,211378388,127.33309299999999,366527102,7
144,11.295655,211378388,127.33308999999998,366527102,7
145,11.295655,211378388,127.33308999999998,366527102,7
146,11.358758,211382175,132.054587,458686206,7
147,11.358758,211382175,132.054587,458686206,7
148,11.358758,211382175,132.05458000000002,458686206,7
149,11.358758,211382175,132.05458000000002,458686206,7
150,11.366412,211382664,131.2013,443996598,7
151,11.366412,211382664,131.2013,443996598,7
152,11.366412,211382664,131.201289,443996598,7
153,11.366412,211382664,131.201289,443996598,7
154,11.42525,211386388,128.12401,366622859,7
155,11.42525,211386388,128.12401,366622859,7
156,11.42525,211386388,128.124005,366622859,7
157,11.42525,211386388,128.124005,366622859,7
158,11.522669,211392382,129.961633,443965212,7
159,11.522669,211392382,129.961633,443965212,7
160,11.522669,211392382,129.96164,443965212,7
161,11.522669,211392382,129.96164,443965212,7
162,11.598945,211397259,127.467254,366527933,7
163,11.598945,211397259,127.467254,366527933,7
164,11.598945,211397259,127.46725500000001,366527933,7
165,11.598945,211397259,127.46725500000001,366527933,7
166,11.667474,211401787,126.896955,366484980,7
167,11.667474,211401787,126.896955,366484980,7
168,11.667474,211401787,126.89696,366484980,7
169,11.667474,211401787,126.89696,366484980,7
170,11.703562,211404031,129.13078000000002,468988512,7
171,11.703562,211404031,129.13078000000002,468988512,7
172,11.703562,211404031,129.130784,468988512,7
173,11.703562,211404031,129.130784,468988512,7
174,11.855008999999999,211414187,129.11716,468988443,7
175,11.855008999999999,211414187,129.11716,468988443,7
176,11.855008999999999,211414187,129.11715800000002,468988443,7
177,11.855008999999999,211414187,129.11715800000002,468988443,7
178,11.85513,211414200,127.81289,366576742,7
179,11.85513,211414200,127.81289,366576742,7
180,11.85513,211414200,127.812886,366576742,7
181,11.85513,211414200,127.812886,366576742,7
182,11.966191,211421716,129.54718,21273577,7
183,11.966191,211421716,129.54718,21273577,7
184,11.966191,211421716,129.54718,21273577,7
185,11.966191,211421716,129.547187,21273577,7
186,11.966191,211421716,129.547187,21273577,7
187,11.966191,211421716,129.547187,21273577,7
188,11.974886999999999,211422285,130.442473,396734013,7
189,11.974886999999999,211422285,130.442473,396734013,7
190,11.974886999999999,211422285,130.442473,396734013,7
191,11.974886999999999,211422285,130.44247,396734013,7
192,11.974886999999999,211422285,130.44247,396734013,7
193,11.974886999999999,211422285,130.44247,396734013,7
194,11.991418,211423401,129.94069,21289550,7
195,11.991418,211423401,129.94069,21289550,7
196,11.991418,211423401,129.94069,21289550,7
197,12.01165,211424769,128.852684,21184505,7
198,12.01165,211424769,128.852684,21184505,7
199,12.01165,211424769,128.85268,21184505,7
200,12.01165,211424769,128.85268,21184505,7
201,12.066438,211428282,128.875201,21221788,7
202,12.066438,211428282,128.875201,21221788,7
203,12.066438,211428282,128.8752,21221788,7
204,12.066438,211428282,128.8752,21221788,7
205,12.183519,211435859,126.267124,6992111,7
206,12.183519,211435859,126.267124,6992111,7
207,12.183519,211435859,126.26711999999999,6992111,7
208,12.183519,211435859,126.26711999999999,6992111,7
209,12.857838000000001,211480544,123.98230500000001,386588876,7
210,12.857838000000001,211480544,123.98230500000001,386588876,7
211,12.857838000000001,211480544,123.98231000000001,386588876,7
212,12.857838000000001,211480544,123.98231000000001,386588876,7
213,13.022828,211491918,123.64963999999999,27679101,7
214,13.022828,211491918,123.64963999999999,27679101,7
215,13.022828,211491918,123.64964099999999,27679101,7
216,13.022828,211491918,123.64964099999999,27679101,7
217,13.048296,211493624,123.587478,27654333,7
218,13.168069000000001,211502031,124.07404,284852092,7
219,13.168069000000001,211502031,124.07404,284852092,7
220,13.168069000000001,211502031,124.074046,284852092,7
221,13.168069000000001,211502031,124.074046,284852092,7
222,13.190907000000001,211503688,124.69844499999999,186853268,7
223,13.190907000000001,211503688,124.69844499999999,186853268,7
224,13.190907000000001,211503688,124.69845,186853268,7
225,13.190907000000001,211503688,124.69845,186853268,7
226,-8.962946,246020511,355.769661,9031595,2
