,0
532,10000580815
533,242964467
534,173109342
535,12857670
536,38087971
537,173109663
538,10000135527
539,443964904
540,68055814
541,38138568
542,240766319
543,12857640
544,240716140
545,38159783
546,366355244
547,186812926
548,350499564
549,21339618
550,438457108
551,387612254
552,387612309
553,387612286
554,387612263
555,387612285
556,82049640
557,350498089
558,49417137
559,49426757
560,53210622
561,49419344
562,49418768
563,240765070
564,38086697
565,49462686
566,348666674
567,443996401
568,82049735
569,173101716
570,173103968
571,38143713
572,425465612
573,425465461
574,240717621
575,435339890
576,389051876
577,49462504
578,188572093
579,350517530
580,366444130
581,437030396
582,49465026
583,173163083
584,49426777
585,243015658
586,284851952
587,173102371
588,468987824
589,435908620
590,240811631
591,443616384
592,49427275
593,291108304
594,240662507
595,62903324
596,58959937
597,240624221
598,366398870
599,443617799
600,350475025
601,38064567
602,38204934
603,12822178
604,242941724
605,173101781
606,443580950
607,53207411
608,38141944
609,49429386
610,173108945
611,59038545
612,38158257
613,49504427
614,242985090
615,173162998
616,12857892
617,188570401
618,173163702
619,173145677
620,242886146
621,458677717
622,173108996
623,82052113
624,173104587
625,53205345
626,38144188
627,389019801
628,49462581
629,366410772
630,38065775
631,49465147
632,60284487
633,49417135
634,173165511
635,173165420
636,350448332
637,38159789
638,173145073
639,240852684
640,10000245862
641,7060730
642,415331770
643,415336109
644,407941610
645,468988609
646,173096634
647,173165486
648,389010053
649,396734029
650,443616746
651,366399738
652,458682145
653,443965086
654,173104455
655,415331673
656,27679364
657,49504836
658,242961016
659,435904157
660,240721474
661,10001888472
662,38065732
663,243012014
664,389018875
665,366631693
666,38064418
667,240629584
668,435303324
669,62940087
670,173104354
671,59039488
672,49546776
673,146581158
674,366410219
675,173145142
676,27679323
677,458678234
678,145963335
679,27650619
680,82054833
681,49544404
682,49544533
683,173108901
684,443970364
685,38065725
686,434138578
687,38086826
688,415389335
689,434230784
690,434239322
691,6991982
692,291075038
693,366568970
694,53190692
695,62903279
696,345457398
697,27636623
698,350475023
699,38141775
700,146581126
701,443614539
702,240811888
703,145964917
704,366657396
705,188572078
706,366632234
707,173099005
708,435336521
709,306695782
710,387612218
711,38085542
712,206283210
713,53207909
714,444005886
715,173165719
716,366400137
717,12784584
718,69839150
719,62938914
720,291108324
721,38143509
722,243011117
723,443996496
724,240812928
725,27650354
726,12773392
727,366526488
728,49455901
729,49546779
730,82071592
731,173163003
732,437026532
733,38138519
734,38086590
735,49523054
736,243011086
737,468988212
738,145543261
739,146801018
740,173104360
741,173162968
742,38064305
743,49427250
744,389083198
745,49464648
746,468988049
747,6859748
748,49416878
749,7024648
750,38159779
751,173165613
752,173102457
753,82052192
754,59003236
755,243031678
756,38131583
757,415335918
758,38143287
759,240813316
760,242984969
761,6951426
762,366577258
763,173165639
764,49504775
765,458682559
766,437030741
767,443614431
768,173097216
769,27683039
770,443614700
771,49546814
772,240664384
773,38160061
774,173109619
775,173165417
776,242940723
777,456889204
778,38115337
779,49418753
780,243016107
781,366631246
782,27650673
783,38160116
784,443996907
785,38143239
786,49417166
787,10000580301
788,49429300
789,27679115
790,444009399
791,7024676
792,27682915
793,443996303
794,188572128
795,6859729
796,458685951
797,49504932
798,12769990
799,366410148
800,366528940
801,38160961
802,49523049
803,38158216
804,389051545
805,38132282
806,173109376
807,49419343
808,366399482
809,188578505
810,458655257
811,49523289
812,145752408
813,82071624
814,366443824
815,396742600
816,173101786
817,10000229995
818,12858008
819,38142056
820,12822050
821,366399923
822,38114064
823,38114068
824,243011903
825,389015720
826,49465131
827,435340148
828,366576469
829,12860857
830,146366035
831,434238759
832,38143420
833,173102361
834,82049489
835,435911016
836,53210046
837,173162941
838,350448329
839,49462690
840,38159731
841,468988015
842,240722183
843,242964799
844,437030394
845,49419180
846,49544509
847,173101817
848,173103955
849,366631270
850,468992992
851,173108615
852,49419494
853,389083282
854,49419324
855,49504487
856,291089829
857,434237613
858,38140899
859,284852094
860,439856716
861,243015121
862,69814640
863,81986374
864,82054825
865,38159713
866,240663613
867,188544018
868,186817013
869,173097530
870,366443946
871,38065688
872,242960502
873,38085707
874,291066968
875,396733479
876,145752193
877,456889100
878,53207476
879,38064522
880,173163038
881,240811732
882,38158325
883,49426939
884,380166578
885,38141185
886,62903282
887,458682543
888,49426825
889,458655656
890,82049319
891,49416853
892,173163849
893,12819754
894,173090015
895,173109301
896,366527512
897,27629704
898,173163837
899,389015889
900,437030689
901,38115439
902,38131633
903,366410756
904,468993006
905,443965075
906,38087985
907,173104657
908,82054821
909,366399097
910,173145360
911,240849807
912,49419245
913,366399014
914,173108881
915,173145027
916,240852398
917,38064643
918,240630175
919,62903349
920,386622142
921,311151442
922,49417035
923,173103875
924,458685814
925,243016325
926,173145194
927,49465062
928,146580129
929,27626657
930,458686289
931,366406482
932,173145186
933,146800976
934,38064552
935,49504484
936,49465012
937,240663305
938,444006218
939,348721967
940,27636578
941,173109462
942,242965362
943,6991975
944,145753795
945,7024392
946,38132316
947,38138611
948,173096816
949,456887759
950,366622607
951,38144253
952,240720757
953,38160118
954,240764954
955,366528313
956,173108668
957,38088130
958,173099049
959,366443998
960,173102272
961,434135614
962,20537332
963,240623330
964,173104379
965,291074557
966,291090184
967,434128385
968,173145317
969,49429298
970,173103742
971,38161012
972,38160811
973,366399122
974,53210070
975,366485291
976,366528630
977,49418866
978,366567826
979,396743018
980,443617852
981,366576191
982,366444701
983,173103822
984,458686285
985,49417033
986,396742695
987,49426783
988,443996370
989,366499509
990,389008518
991,396734131
992,12860851
993,380166480
994,443970215
995,10000881424
996,380640262
997,146799136
998,38064590
999,38140877
1000,12770274
1001,21289670
1002,12770167
1003,12858124
1004,6892637
1005,49504284
1006,380640301
1007,366399298
1008,53207996
1009,443617537
1010,145752283
1011,69817942
1012,402313878
1013,243031372
1014,425465623
1015,53210525
1016,49418862
1017,458656276
1018,186853265
1019,366410102
1020,82049740
1021,242965489
1022,49504784
1023,242995594
1024,38212312
1025,38141965
1026,49504545
1027,242990512
1028,12784556
1029,389008518
1030,396734131
1031,12860851
1032,380166480
1033,443970215
1034,10000881424
1035,380640262
1036,146799136
1037,38064590
1038,38140877
1039,12770274
1040,21289670
1041,12770167
1042,12858124
1043,6892637
1044,49504284
1045,380640301
1046,366399298
1047,53207996
1048,443617537
1049,145752283
1050,69817942
1051,402313878
1052,243031372
1053,425465623
1054,53210525
1055,49418862
1056,458656276
1057,186853265
1058,366410102
1059,82049740
1060,242965489
1061,49504784
1062,242995594
1063,38212312
1064,38141965
1065,49504545
1066,242990512
1067,12784556
1068,20495084
1069,173098838
1070,12784730
1071,188569857
1072,242965166
1073,6950899
1074,415369962
1075,389008794
1076,443616380
1077,240720807
1078,38087999
1079,49419341
1080,145964086
1081,146364201
1082,49544627
1083,173163647
1084,146581164
1085,435336577
1086,49417116
1087,366485077
1088,62905451
1089,443586453
1090,27679140
1091,380640247
1092,49456026
1093,82052339
1094,6951405
1095,12787659
1096,291075004
1097,240851047
1098,6997311
1099,146799099
1100,27626883
1101,458686225
1102,49426701
1103,350499534
1104,435340352
1105,366355390
1106,20486639
1107,146799139
1108,389009053
1109,348662973
1110,49418774
1111,437030441
1112,173145278
1113,348668074
1114,435905940
1115,435908930
1116,173097314
1117,38158331
1118,240765581
1119,12784238
1120,20419410
1121,53207928
1122,434234857
1123,38141101
1124,240849742
1125,10000881458
1126,188572056
1127,240849756
1128,173109336
1129,240720225
1130,240850972
1131,456865004
1132,366399930
1133,186812793
1134,366568813
1135,443996503
1136,173163719
1137,38086774
1138,366622596
1139,12822458
1140,12857814
1141,240630276
1142,366622436
1143,435339724
1144,145540833
1145,20444233
1146,12857833
1147,240720748
1148,38142111
1149,49417001
1150,434233205
1151,396742710
1152,27654305
1153,12822428
1154,49429926
1155,291075042
1156,387612317
1157,439846134
1158,27682982
1159,291108692
1160,12822707
1161,49462473
1162,366410398
1163,21289490
1164,240765091
1165,49456013
1166,69854851
1167,458656185
1168,389047075
1169,284852125
1170,366622857
1171,366484398
1172,468988650
1173,62905351
1174,38159964
1175,188572000
1176,53207435
1177,350499560
1178,173104658
1179,242939724
1180,443614506
1181,38144260
1182,435307083
1183,38064556
1184,38116267
1185,291075013
1186,49419380
1187,82052362
1188,242961266
1189,366410791
1190,366528486
1191,49465136
1192,389082580
1193,240810352
1194,145752434
1195,240663279
1196,49464599
1197,12860865
1198,366657350
1199,366409885
1200,443995922
1201,173163774
1202,242884007
1203,20423131
1204,173163134
1205,173163796
1206,443616442
1207,240765086
1208,388978323
1209,443970209
1210,9726026
1211,443617785
1212,82054733
1213,392457471
1214,12822542
1215,12787768
1216,146799122
1217,27636737
1218,27636550
1219,443996338
1220,366484930
1221,62903331
1222,443612272
1223,240716128
1224,60254784
1225,456889732
1226,435332833
1227,439854212
1228,12772896
1229,458677882
1230,240664308
1231,366631758
1232,425465593
1233,434135625
1234,12784449
1235,62938879
1236,434135777
1237,366354799
1238,402313616
1239,38160935
1240,49419294
1241,53210073
1242,443996818
1243,173108613
1244,380640314
1245,38115372
1246,366500379
1247,12860766
1248,240662731
1249,53207452
1250,38131681
1251,240812311
1252,291074554
1253,468983871
1254,173108693
1255,173163024
1256,12787262
1257,60284473
1258,240664027
1259,380166612
1260,443970462
1261,38143375
1262,173108670
1263,206283212
1264,82054727
1265,49523265
1266,38113991
1267,380166547
1268,350475040
1269,435880135
1270,38064491
1271,38143530
1272,81986369
1273,173109371
1274,49419286
1275,49522908
1276,437030377
1277,437030710
1278,240812327
1279,38086770
1280,38143680
1281,291074978
1282,434132116
1283,366484865
1284,366568597
1285,366527061
1286,443617772
1287,38159847
1288,49416924
1289,59003301
1290,49419338
1291,389053263
1292,366354932
1293,12819833
1294,145964511
1295,188578572
1296,62905428
1297,443617954
1298,82055072
1299,38088136
1300,38143506
1301,435310710
1302,434131188
1303,458682125
1304,49426814
1305,242964647
1306,366410199
1307,350475018
1308,435880544
1309,242965486
1310,389018920
1311,173109397
1312,49465142
1313,10000053132
1314,434167006
1315,49419177
1316,38088015
1317,82052137
1318,366410223
1319,173108948
1320,173109495
1321,12654993
1322,389009621
1323,437030465
1324,49544713
1325,69857792
1326,173101813
1327,49416858
1328,49418896
1329,38159884
1330,386588973
1331,173145129
1332,77572752
1333,49426773
1334,49427287
1335,435332933
1336,145964277
1337,366500357
1338,414335816
1339,146799121
1340,434131376
1341,348662954
1342,173109689
1343,173104321
1344,38158315
1345,205338017
1346,49464474
1347,68558330
1348,173108744
1349,188569451
