EPIC,RA,DEC,Kp,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,k2_campaign_str,k2_type,k2_lcflag,k2_scflag,k2_dist,k2_teff,k2_logg,k2_metfe,k2_rad,k2_mass
201171432,173.466591,-4.782576,8.286,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STAR,1,0,NA,3537,0.78,0.215,81.93,1.47
201172543,173.964676,-4.755692,8.416,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STAR,1,1,NA,5733,4.45,-0.013,0.98,1
201175045,170.919342,-4.696386,9.761,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STAR,1,0,NA,5922,3.9,-0.018,1.97,1.25
201175402,173.38314,-4.68789,9.786,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STAR,1,0,NA,4728,2.4,-0.296,10.48,1.09
201182852,168.926023,-4.50912,9.397,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STAR,1,0,NA,4767,2.46,-0.178,10.91,1.26
201183255,169.019737,-4.499739,9.859,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STAR,1,0,NA,4666,2.45,-0.099,11.27,1.3
201185259,172.310378,-4.451658,7.357,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STAR,1,0,NA,6499,4.24,-0.002,1.44,1.3
201185394,171.114335,-4.44843,9.081,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STAR,1,0,NA,4802,2.49,-0.167,10.87,1.36
201188042,171.130136,-4.384274,9.889,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STAR,1,0,NA,5311,4.6,-0.606,0.7,0.73
201188056,171.127724,-4.383978,9.294,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STAR,1,0,NA,5737,3.9,-0.054,1.96,1.15
201188204,170.2953,-4.38019,9.317,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STAR,1,0,NA,6233,4,0.011,1.83,1.35
201193926,172.064944,-4.244579,9.924,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STAR,1,0,NA,4557,2.39,-0.115,11.25,1.2
201194808,170.811194,-4.222585,9.958,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STAR,1,0,NA,6467,4.28,-0.06,1.33,1.25
201197280,173.516794,-4.166049,9.063,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STAR,1,0,NA,5645,3.89,-0.044,1.95,1.15
201199000,174.026584,-4.125813,9.413,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STAR,1,0,NA,4653,2.42,-0.174,11.27,1.17
201202322,170.768416,-4.049778,9.241,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STAR,1,0,NA,5460,2.7,-0.204,4.93,0.93
201204571,170.256174,-3.996466,9.04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STAR,1,0,NA,6449,3.88,0.04,2.28,1.56
201206850,169.185924,-3.94292,8.207,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STAR,1,0,NA,7644,3.89,0.037,2.56,1.99
201207184,169.077854,-3.9348359999999998,9.924,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STAR,1,0,NA,5941,4.01,-0.01,1.68,1.15
201216391,172.343991,-3.723259,9.616,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STAR,1,0,NA,NA,NA,NA,NA,NA
201224207,170.491404,-3.595841,9.578,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STAR,1,0,NA,6424,4.29,0,1.3,1.25
201228539,173.030068,-3.533193,9.679,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STAR,1,0,NA,6627,4.04,0,1.78,1.46
201232619,169.048799,-3.471973,7.59,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STAR,1,0,NA,9956,3.56,-0.051,4.95,3.15
201238932,172.162028,-3.377327,9.254,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,STAR,1,0,NA,8697,4.16,-0.044,1.94,1.98
