EPIC,RA,DEC,Kp,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,k2_campaign_str,k2_type,k2_lcflag,k2_scflag,k2_dist,k2_teff,k2_logg,k2_metfe,k2_rad,k2_mass
211328277,130.88847,10.413071,17.798,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,STAR,1,1,NA,2129,5.36,-0.107,0.1,0.08
211328277,130.88847,10.413071,17.798,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,STAR,1,1,32.8,NA,NA,NA,NA,NA
211329075,127.983268,10.428261,14.951,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,STAR,1,1,NA,2209,5.34,-0.072,0.1,0.08
211329075,127.98327,10.428261,14.951,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,STAR,1,1,NA,2209,5.34,-0.072,0.1,0.08
211332457,128.8486,10.492178,14.465,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,STAR,1,1,85.5,NA,NA,NA,NA,NA
211332457,128.8486,10.492178,14.465,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,STAR,1,1,NA,2257,5.33,-0.076,0.1,0.08
211332457,128.848607,10.492178,14.465,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,STAR,1,1,85.5,NA,NA,NA,NA,NA
211332457,128.848607,10.492178,14.465,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,STAR,1,1,NA,2257,5.33,-0.076,0.1,0.08
211340012,129.8249,10.631478,15.307,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,STAR,1,1,NA,NA,NA,NA,NA,NA
211340012,129.824905,10.631478,15.307,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,STAR,1,1,NA,NA,NA,NA,NA,NA
211351543,129.333494,10.842747,11.383,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,STAR,1,1,404.1,NA,NA,NA,NA,NA
211351543,129.3335,10.842747,11.383,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,STAR,1,1,404.1,NA,NA,NA,NA,NA
211351816,127.76283,10.847586,12.409,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,STAR,1,1,1124,NA,NA,NA,NA,NA
211351816,127.762836,10.847586,12.409,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,STAR,1,1,1124,NA,NA,NA,NA,NA
211355168,131.8894,10.90732,18.103,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,STAR,1,1,NA,NA,NA,NA,NA,NA
211355501,126.768479,10.913099,18.802,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,STAR,1,1,NA,NA,NA,NA,NA,NA
211355501,126.76848,10.913099,18.714,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,STAR,1,1,NA,NA,NA,NA,NA,NA
211383343,127.847944,11.377755,18.951,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,STAR,1,1,NA,NA,NA,NA,NA,NA
