EPIC,RA,DEC,Kp,S1,S2,S3,S4,S5,S6,S7
210346126,59.820121,12.112158,16.915,0,0,0,0,1,0,0
210445742,62.480336,14.440511,16.915,0,0,0,0,1,0,0
201150515,172.318276,-5.283313,16.914,0,0,0,0,0,0,0
210447790,64.564607,14.478765,16.914,0,0,0,0,1,0,0
201163585,174.884831,-4.971335,16.913,0,0,0,0,0,0,0
201921585,177.016074,7.787609,16.913,0,0,0,0,0,0,0
205962267,341.420801,-15.971688,16.913,0,1,0,0,0,0,0
201243101,171.146859,-3.313881,16.912,0,0,0,0,0,0,0
211308779,129.731242,10.027,16.912,0,0,0,0,0,0,1
201287800,169.977711,-2.633453,16.909,0,0,0,0,0,0,0
201356219,168.180457,-1.612199,16.908,0,0,0,0,0,0,0
201269535,169.30469,-2.912457,16.906,0,0,0,0,0,0,0
201167550,174.866739,-4.877842,16.906,0,0,0,0,0,0,0
210330338,58.317809,11.663206,16.906,0,0,0,0,1,0,0
201228457,169.657852,-3.534431,16.905,0,0,0,0,0,0,0
202760268,242.197056,-28.46563,16.904,0,0,0,0,0,0,0
210405744,55.371297,13.598887,16.904,0,0,0,0,1,0,0
205992795,340.270543,-15.030785,16.903,0,1,0,0,0,0,0
205961811,340.450217,-15.986001,16.902,0,1,0,0,0,0,0
210405750,64.605813,13.599049,16.902,0,0,0,0,1,0,0
201189765,171.916127,-4.343063,16.901,0,0,0,0,0,0,0
202065159,103.26618,16.92588,16.9,0,0,0,0,0,1,0
206006237,342.573223,-14.647892,16.9,0,1,0,0,0,0,0
205942867,337.345538,-16.608124,16.899,0,1,0,0,0,0,0
201393615,167.341323,-1.057494,16.898,0,0,0,0,0,0,0
205933894,339.438168,-16.916487,16.898,0,1,0,0,0,0,0
210367179,58.894733,12.675622,16.898,0,0,0,0,1,0,0
201266227,169.989816,-2.962171,16.897,0,0,0,0,0,0,0
205963275,339.203938,-15.939588,16.896,0,1,0,0,0,0,0
210359427,62.058,12.476089,16.896,0,0,0,0,1,0,0
211376538,126.775663,11.265481,16.896,0,0,0,0,0,0,1
211418324,126.192043,11.916282,16.894,0,0,0,0,0,0,1
201256600,171.423002,-3.107154,16.893,0,0,0,0,0,0,0
201192538,170.995787,-4.276858,16.892,0,0,0,0,0,0,0
201233582,172.129219,-3.457857,16.891,0,0,0,0,0,0,0
205907116,338.633694,-17.918995,16.89,0,1,0,0,0,0,0
201162603,172.815,-4.994731,16.889,0,0,0,0,0,0,0
210397302,62.945424,13.404626,16.889,0,0,0,0,1,0,0
205949504,338.161762,-16.385679,16.888,0,1,0,0,0,0,0
211354807,131.761015,10.900937,16.888,0,0,0,0,0,0,1
205981092,339.247389,-15.388141,16.887,0,1,0,0,0,0,0
210386168,62.197188,13.14275,16.887,0,0,0,0,1,0,0
201216313,173.398973,-3.724738,16.885,0,0,0,0,0,0,0
201203138,173.752451,-4.030363,16.885,0,0,0,0,0,0,0
210444607,60.883623,14.418343,16.884,0,0,0,0,1,0,0
211439965,126.049185,12.246186,16.884,0,0,0,0,0,0,1
211380826,126.763467,11.335921,16.884,0,0,0,0,0,0,1
206000446,340.292395,-14.812241,16.883,0,1,0,0,0,0,0
211410669,128.15766,11.802518,16.883,0,0,0,0,0,0,1
201375759,166.787398,-1.327685,16.882,0,0,0,0,0,0,0
201290406,169.98818,-2.593653,16.881,0,0,0,0,0,0,0
201175482,173.879789,-4.685571,16.881,0,0,0,0,0,0,0
201146616,174.829352,-5.375906,16.881,0,0,0,0,0,0,0
211480379,123.369776,12.855734,16.879,0,0,0,0,0,0,1
211511993,125.112478,13.308073,16.879,0,0,0,0,0,0,1
201255660,169.101084,-3.121572,16.878,0,0,0,0,0,0,0
211438380,126.289744,12.221932,16.878,0,0,0,0,0,0,1
211438319,126.717978,12.220955,16.878,0,0,0,0,0,0,1
211322653,127.321001,10.306435,16.878,0,0,0,0,0,0,1
201902396,178.207674,7.375756,16.875,0,0,0,0,0,0,0
210361458,60.909006,12.529531,16.875,0,0,0,0,1,0,0
211395570,132.041426,11.573713,16.875,0,0,0,0,0,0,1
201165294,171.048343,-4.931926,16.872,0,0,0,0,0,0,0
205935328,337.879738,-16.865641,16.872,0,1,0,0,0,0,0
205946958,340.920117,-16.469776,16.872,0,1,0,0,0,0,0
206550434,335.350267,-3.785632,16.871,0,0,0,0,0,0,0
211517173,123.623271,13.380783,16.871,0,0,0,0,0,0,1
211309789,127.906031,10.047664,16.871,0,0,0,0,0,0,1
