EPIC,RA,DEC,Kp,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,fullname,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_k2flag,ra.x,dec.x,st_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_mass,st_rad,pl_cbflag,pl_eqt,pl_insol,pl_bmasse,pl_msinie,pl_rade,pl_trandep,pl_trandur,pl_imppar,pl_disc,pl_status,gaia_dist,st_spstr,st_logg,st_metfe,st_age,pl_locale,pl_facility,pl_telescope,rowupdate,epic_host,k2_campaign_str,k2_name,k2_kepmag,tm_designation,ra.y,dec.y
210402237,55.255905,13.519372,11.801,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2-79 b,K2-79,b,Transit,1,10.99573,0.0987,NA,1,55.255905,13.519372,257.9,12.075,V (Johnson),11.803,5926,1.06,1.28,0,NA,186,NA,NA,3.69,NA,0.1841667,NA,2016,3,257.9,NA,4.25,NA,NA,Space,K2,0.95 m Kepler Telescope,2016-07-18,EPIC 210402237,4,K2-79 b,11.801,2MASS J03410141+1331098,55.255905,13.519372
210403955,59.037487,13.559289,12.388,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2-80 c,K2-80,c,Transit,3,5.605,0.0596,NA,1,59.037487,13.559289,201.96,12.626,V (Johnson),12.377,5441,0.9,0.87,0,NA,166,NA,NA,1.47,NA,0.1116667,NA,2016,3,201.96,NA,4.52,NA,NA,Space,K2,0.95 m Kepler Telescope,2016-07-18,EPIC 210403955,4,K2-80 c,12.388,2MASS J03560900+1333334,59.037487,13.559289
210403955,59.037487,13.559289,12.388,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2-80 b,K2-80,b,Transit,3,19.0918,0.135,NA,1,59.037487,13.559289,201.96,12.626,V (Johnson),12.377,5441,0.9,0.87,0,NA,32.5,NA,NA,2.01,NA,0.1858333,NA,2016,3,201.96,NA,4.52,NA,NA,Space,K2,0.95 m Kepler Telescope,2016-07-18,EPIC 210403955,4,K2-80 b,12.388,2MASS J03560900+1333334,59.037487,13.559289
210403955,59.037487,13.559289,12.388,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2-80 d,K2-80,d,Transit,3,28.867253,NA,NA,1,59.037487,13.559289,201.96,12.626,V (Johnson),12.377,5441,0.9,0.87,0,NA,NA,NA,NA,2.552,NA,NA,NA,2018,3,201.96,NA,4.52,NA,NA,Space,K2,0.95 m Kepler Telescope,2018-02-15,EPIC 210403955,4,K2-80 d,12.388,2MASS J03560900+1333334,59.037487,13.559289
211311380,126.616038,10.080375,9.128,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIP 41378 e,HIP 41378,e,Transit,5,131,NA,NA,1,126.616043,10.080378,106.61,8.93,V (Johnson),8.81,6199,1.15,1.4,0,NA,NA,NA,NA,5.51,NA,0.5419583,0.31,2016,3,106.61,F6,4.18,-0.11,NA,Space,K2,0.95 m Kepler Telescope,2016-07-07,EPIC 211311380,5,K2-93 e,9.128,2MASS J08262784+1004493,126.616043,10.080378
211311380,126.616038,10.080375,9.128,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIP 41378 c,HIP 41378,c,Transit,5,31.6978,NA,NA,1,126.616043,10.080378,106.61,8.93,V (Johnson),8.81,6199,1.15,1.4,0,NA,NA,NA,NA,2.56,NA,NA,0.53,2016,3,106.61,F6,4.18,-0.11,NA,Space,K2,0.95 m Kepler Telescope,2016-07-07,EPIC 211311380,5,K2-93 c,9.128,2MASS J08262784+1004493,126.616043,10.080378
211311380,126.616038,10.080375,9.128,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIP 41378 d,HIP 41378,d,Transit,5,156,NA,NA,1,126.616043,10.080378,106.61,8.93,V (Johnson),8.81,6199,1.15,1.4,0,NA,NA,NA,NA,3.96,NA,0.5295833,0.5,2016,3,106.61,F6,4.18,-0.11,NA,Space,K2,0.95 m Kepler Telescope,2016-07-07,EPIC 211311380,5,K2-93 d,9.128,2MASS J08262784+1004493,126.616043,10.080378
211311380,126.616038,10.080375,9.128,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIP 41378 f,HIP 41378,f,Transit,5,324,NA,NA,1,126.616043,10.080378,106.61,8.93,V (Johnson),8.81,6199,1.15,1.4,0,NA,NA,NA,NA,10.2,NA,0.7915833,0.227,2016,3,106.61,F6,4.18,-0.11,NA,Space,K2,0.95 m Kepler Telescope,2016-07-07,EPIC 211311380,5,K2-93 f,9.128,2MASS J08262784+1004493,126.616043,10.080378
211311380,126.616038,10.080375,9.128,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIP 41378 b,HIP 41378,b,Transit,5,15.5712,NA,NA,1,126.616043,10.080378,106.61,8.93,V (Johnson),8.81,6199,1.15,1.4,0,NA,NA,NA,NA,2.9,NA,NA,0.55,2016,3,106.61,F6,4.18,-0.11,NA,Space,K2,0.95 m Kepler Telescope,2016-07-07,EPIC 211311380,5,K2-93 b,9.128,2MASS J08262784+1004493,126.616043,10.080378
211311380,126.616035,10.080375,9.128,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIP 41378 e,HIP 41378,e,Transit,5,131,NA,NA,1,126.616043,10.080378,106.61,8.93,V (Johnson),8.81,6199,1.15,1.4,0,NA,NA,NA,NA,5.51,NA,0.5419583,0.31,2016,3,106.61,F6,4.18,-0.11,NA,Space,K2,0.95 m Kepler Telescope,2016-07-07,EPIC 211311380,5,K2-93 e,9.128,2MASS J08262784+1004493,126.616043,10.080378
