EPIC,RA,DEC,Kp,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,epic_name,tm_name,epic_candname,pl_name,k2c_disp,ra,dec,pl_orbper,pl_tranmid,pl_trandep,pl_trandur,pl_imppar,pl_orbincl,pl_rade,st_teff,st_logg
202688980,244.220774,-28.730322,11.772,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 202688980,2MASS J16165298-2843493,EPIC 202688980.01,NA,CANDIDATE,244.220779,-28.730322,1.4556637,2456896.637017,2.958,0.1046667,NA,NA,NA,NA,NA
202710713,244.066902,-28.649133,12.237,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 202710713,2MASS J16161605-2838569,EPIC 202710713.01,NA,CANDIDATE,244.066895,-28.649134,3.32592848,2456898.702898,0.091,0.1939583,NA,NA,NA,NA,NA
202710713,244.066902,-28.649133,12.237,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 202710713,2MASS J16161605-2838569,EPIC 202710713.01,NA,CANDIDATE,244.066895,-28.649134,3.3262396,2456895.376,0.101,0.2420833,0.95,NA,1.16,3404,NA
202821899,249.160014,-28.239061,12.577,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 202821899,2MASS J16363840-2814205,EPIC 202821899.01,NA,CANDIDATE,249.160019,-28.239061,4.474513,2456895.68804,NA,NA,NA,87.804,8.169,6081,3.88
202821899,249.160014,-28.239061,12.577,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 202821899,2MASS J16363840-2814205,EPIC 202821899.01,NA,CANDIDATE,249.160019,-28.239061,4.4743465,2456895.689,0.12,0.0833333,0.48,NA,3.06,5248,NA
202843107,245.547787,-28.161823,11.829,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 202843107,2MASS J16221147-2809426,EPIC 202843107.01,NA,CANDIDATE,245.547791,-28.161823,2.1989041,2456896.495,32.4,0.2845833,0.6,NA,46.6,4938,NA
202893157,246.559179,-27.983086,14.421,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 202893157,2MASS J16261420-2758590,EPIC 202893157.01,NA,CANDIDATE,246.559174,-27.983086,4.1657292,2456894.444,0.227,0.1029167,0.85,NA,1.86,3442,NA
202900527,246.81115,-27.957049,12.303,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 202900527,2MASS J16271467-2757252,EPIC 202900527.01,K2-51 b,CANDIDATE,246.811157,-27.957048,13.008383,2456905.75711,NA,NA,NA,89.033,15.651,5526,4.29
203099398,243.813044,-27.261664,10.634,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 203099398,2MASS J16151515-2715418,EPIC 203099398.01,NA,CANDIDATE,243.813049,-27.261663,1.8389349,2456896.018,0.0177,0.0595833,0.17,NA,0.837,3930,NA
203294831,239.87921,-26.604367,11.571,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 203294831,2MASS J15593100-2636154,EPIC 203294831.01,NA,CANDIDATE,239.879211,-26.604366,1.859017,2456893.66574,NA,0.13392,NA,NA,64,6842,4.01
203294831,239.87921,-26.604367,11.571,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 203294831,2MASS J15593100-2636154,EPIC 203294831.01,NA,CANDIDATE,239.879211,-26.604366,1.8590179,2456895.525,4.44,0.14,0.9,NA,30.5,6244,NA
203294831,239.87921,-26.604367,11.571,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 203294831,2MASS J15593100-2636154,EPIC 203294831.01,NA,CANDIDATE,239.879211,-26.604366,1.85872487,2456897.387822,4.143,0.133875,NA,NA,NA,NA,NA
205703094,247.33893,-15.646748,12.514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,EPIC 205703094,2MASS J16292134-1538482,EPIC 205703094.01,NA,CANDIDATE,247.338928,-15.646748,8.1191,2456895.8169,NA,0.121,NA,NA,57,6040,4.32
205703094,247.33893,-15.646748,12.514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,EPIC 205703094,2MASS J16292134-1538482,EPIC 205703094.02,NA,CANDIDATE,247.338928,-15.646748,16.235,2456899.889,NA,0.246,NA,NA,11,6040,4.32
205947161,340.959693,-16.462458,11.16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 205947161,2MASS J22435033-1627449,EPIC 205947161.01,NA,CANDIDATE,340.959686,-16.462458,17.72507,2456989.1963,NA,0.06513,NA,NA,45,6189,4.15
205947161,340.959693,-16.462458,11.16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 205947161,2MASS J22435033-1627449,EPIC 205947161.01,NA,CANDIDATE,340.959686,-16.462458,17.725837,2456989.194,0.299,0.0675,0.93,NA,6.63,5971,NA
205957328,339.902444,-16.129775,12.464,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 205957328,2MASS J22393657-1607471,EPIC 205957328.01,NA,CANDIDATE,339.902435,-16.129774,14.353347,2456981.588,0.0648,0.1354167,0.55,NA,2.19,5162,NA
205957328,339.902444,-16.129775,12.464,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 205957328,2MASS J22393657-1607471,EPIC 205957328.01,NA,CANDIDATE,339.902435,-16.129774,14.353438,2456981.58551,NA,NA,NA,88.995,2.16,5317,4.59
205976958,339.309679,-15.514149,15.557,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 205976958,2MASS J22371431-1530508,EPIC 205976958.01,NA,CANDIDATE,339.309692,-15.514149,2.3181466,2456980.703,0.157,0.07875,0.49,NA,2.9,4343,NA
205996447,339.726635,-14.925673,15.262,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 205996447,2MASS J22385437-1455325,EPIC 205996447.01,NA,CANDIDATE,339.726624,-14.925673,0.80032756,2456980.092,10.4,0.0833333,0.77,NA,21.3,4028,NA
210365511,60.092362,12.633847,12.439,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 210365511,2MASS J04002214+1238018,EPIC 210365511.01,NA,CANDIDATE,60.092361,12.633847,3.951971,2457067.61666,NA,NA,NA,38.938,8.446,4672,4.63
210389383,62.603675,13.217711,12.752,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 210389383,2MASS J04102487+1313037,EPIC 210389383.01,NA,CANDIDATE,62.603676,13.217711,14.08549,2457069.77715,NA,0.26508,NA,NA,21.1,5970,4.16
210414957,64.325266,13.804842,12.655,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 210414957,2MASS J04171805+1348175,EPIC 210414957.01,NA,CANDIDATE,64.325264,13.804842,0.96997227,2457062.192319,0.549,0.0912917,NA,NA,NA,NA,NA
210414957,64.325266,13.804842,12.655,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 210414957,2MASS J04171805+1348175,EPIC 210414957.01,NA,CANDIDATE,64.325264,13.804842,0.969967,2457065.10132,NA,0,NA,NA,59,5272,4.04
210423938,60.372361,14.000156,12.655,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 210423938,2MASS J04012935+1400006,EPIC 210423938.01,NA,CANDIDATE,60.37236,14.000156,19.860476,2457072.01609,NA,NA,NA,88.985,2.083,4760,4.69
210472483,64.285893,14.936378,13.179,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 210472483,2MASS J04170860+1456110,EPIC 210472483.01,NA,CANDIDATE,64.285896,14.936378,1.1430018,2457062.307061,4.202,0.1939167,NA,NA,NA,NA,NA
211314705,129.129927,10.14728,14.422,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 211314705,2MASS J08363117+1008501,EPIC 211314705.01,NA,CANDIDATE,129.129929,10.14728,3.794,2457140.224,0.1007,0.05792,0,NA,NA,NA,NA
211328748,130.2354,10.422378,9.947,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 211328748,2MASS J08405648+1025205,EPIC 211328748.01,NA,CANDIDATE,130.235397,10.422378,17.178,2457139.95,0.0219,0.10217,0,NA,NA,NA,NA
211328748,130.235394,10.422378,9.947,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 211328748,2MASS J08405648+1025205,EPIC 211328748.01,NA,CANDIDATE,130.235397,10.422378,17.178,2457139.95,0.0219,0.10217,0,NA,NA,NA,NA
211333233,126.898155,10.506562,9.653,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 211333233,2MASS J08273555+1030237,EPIC 211333233.01,NA,CANDIDATE,126.898155,10.506562,5.409,2457142.885,0.0172,0.09767,0.028,NA,NA,NA,NA
211335816,126.624016,10.5554,11.929,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 211335816,2MASS J08262978+1033193,EPIC 211335816.01,NA,CANDIDATE,126.624016,10.5554,4.99,2457140.02,0.1907,0.03592,0.487,NA,NA,NA,NA
211335816,126.624017,10.5554,11.929,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 211335816,2MASS J08262978+1033193,EPIC 211335816.01,NA,CANDIDATE,126.624016,10.5554,4.99,2457140.02,0.1907,0.03592,0.487,NA,NA,NA,NA
211342524,128.098694,10.677239,12.406,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 211342524,2MASS J08322368+1040380,EPIC 211342524.01,NA,CANDIDATE,128.098694,10.677239,14.448767,2457149.36773,NA,0.1562,0.98,NA,44.2,NA,NA
211342524,128.098694,10.677239,12.406,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 211342524,2MASS J08322368+1040380,EPIC 211342524.01,NA,CANDIDATE,128.098694,10.677239,14.4518248,2457149.361472,4.465,0.1511667,NA,NA,NA,NA,NA
211342524,128.098694,10.677239,12.406,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 211342524,2MASS J08322368+1040380,EPIC 211342524.01,NA,CANDIDATE,128.098694,10.677239,14.449,2457149.367,9.1939,0.02479,0.991,NA,NA,NA,NA
211342524,128.0987,10.677239,12.406,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 211342524,2MASS J08322368+1040380,EPIC 211342524.01,NA,CANDIDATE,128.098694,10.677239,14.448767,2457149.36773,NA,0.1562,0.98,NA,44.2,NA,NA
211342524,128.0987,10.677239,12.406,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 211342524,2MASS J08322368+1040380,EPIC 211342524.01,NA,CANDIDATE,128.098694,10.677239,14.4518248,2457149.361472,4.465,0.1511667,NA,NA,NA,NA,NA
211342524,128.0987,10.677239,12.406,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 211342524,2MASS J08322368+1040380,EPIC 211342524.01,NA,CANDIDATE,128.098694,10.677239,14.449,2457149.367,9.1939,0.02479,0.991,NA,NA,NA,NA
211365543,127.45344,11.085656,12.059,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 211365543,2MASS J08294882+1105083,EPIC 211365543.01,NA,CANDIDATE,127.453438,11.085656,5.264,2457143.676,0.0096,0.17437,0.148,NA,NA,NA,NA
211365543,127.453439,11.085656,12.059,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 211365543,2MASS J08294882+1105083,EPIC 211365543.01,NA,CANDIDATE,127.453438,11.085656,5.264,2457143.676,0.0096,0.17437,0.148,NA,NA,NA,NA
211375488,130.836782,11.24812,17.492,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 211375488,2MASS J08432082+1114532,EPIC 211375488.01,NA,CANDIDATE,130.836777,11.24812,4.166738,2457143.81265,NA,0.1138,1.26,NA,94.8,NA,NA
211375488,130.836782,11.24812,17.492,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EPIC 211375488,2MASS J08432082+1114532,EPIC 211375488.01,NA,CANDIDATE,130.836777,11.24812,2.084,2457141.721,0.2385,0.08146,0.109,NA,NA,NA,NA
