EPIC,RA,DEC,Kp,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,fullname,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_kepflag,pl_k2flag,ra_str,dec_str,ra.x,dec.x,st_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_tefferr1,st_tefferr2,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,pl_cbflag,pl_eqt,pl_insol,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_msinie,pl_rade,pl_radeerr1,pl_radeerr2,pl_trandep,pl_trandur,pl_imppar,pl_disc,pl_status,gaia_dist,st_spstr,st_logg,st_metfe,st_age,pl_locale,pl_facility,pl_telescope,rowupdate,epic_host,k2_name,k2_kepmag,tm_designation,ra.y,dec.y
210402237,55.255905,13.519372,11.801,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2-79 b,K2-79,b,Transit,1,10.99573,0.0987,0.0012,-0.0012,NA,0,1,03h41m01.42s,+13d31m09.7s,55.255905,13.519372,257.9,12.075,V (Johnson),11.803,5926,86,-86,1.06,0.04,-0.04,1.28,0.12,-0.12,0,NA,186,NA,NA,NA,NA,3.69,0.39,-0.39,NA,0.1841667,NA,2016,3,257.9,NA,4.25,NA,NA,Space,K2,0.95 m Kepler Telescope,2016-07-18,EPIC 210402237,K2-79 b,11.801,2MASS J03410141+1331098,55.255905,13.519372
210403955,59.037487,13.559289,12.388,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2-80 c,K2-80,c,Transit,3,5.605,0.0596,0.0018,-0.0018,NA,0,1,03h56m09.00s,+13d33m33.4s,59.037487,13.559289,201.96,12.626,V (Johnson),12.377,5441,249,-249,0.9,0.08,-0.08,0.87,0.1,-0.1,0,NA,166,NA,NA,NA,NA,1.47,0.23,-0.23,NA,0.1116667,NA,2016,3,201.96,NA,4.52,NA,NA,Space,K2,0.95 m Kepler Telescope,2016-07-18,EPIC 210403955,K2-80 c,12.388,2MASS J03560900+1333334,59.037487,13.559289
210403955,59.037487,13.559289,12.388,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2-80 b,K2-80,b,Transit,3,19.0918,0.135,0.004,-0.004,NA,0,1,03h56m09.00s,+13d33m33.4s,59.037487,13.559289,201.96,12.626,V (Johnson),12.377,5441,249,-249,0.9,0.08,-0.08,0.87,0.1,-0.1,0,NA,32.5,NA,NA,NA,NA,2.01,0.3,-0.3,NA,0.1858333,NA,2016,3,201.96,NA,4.52,NA,NA,Space,K2,0.95 m Kepler Telescope,2016-07-18,EPIC 210403955,K2-80 b,12.388,2MASS J03560900+1333334,59.037487,13.559289
210403955,59.037487,13.559289,12.388,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2-80 d,K2-80,d,Transit,3,28.867253,NA,NA,NA,NA,0,1,03h56m09.00s,+13d33m33.4s,59.037487,13.559289,201.96,12.626,V (Johnson),12.377,5441,249,-249,0.9,0.08,-0.08,0.87,0.1,-0.1,0,NA,NA,NA,NA,NA,NA,2.552,0.276,-0.14,NA,NA,NA,2018,3,201.96,NA,4.52,NA,NA,Space,K2,0.95 m Kepler Telescope,2018-02-15,EPIC 210403955,K2-80 d,12.388,2MASS J03560900+1333334,59.037487,13.559289
211311380,126.616038,10.080375,9.128,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIP 41378 e,HIP 41378,e,Transit,5,131,NA,NA,NA,NA,0,1,08h26m27.85s,+10d04m49.4s,126.616043,10.080378,106.61,8.93,V (Johnson),8.81,6199,50,-50,1.15,0.06,-0.06,1.4,0.19,-0.19,0,NA,NA,NA,NA,NA,NA,5.51,0.77,-0.77,NA,0.5419583,0.31,2016,3,106.61,F6,4.18,-0.11,NA,Space,K2,0.95 m Kepler Telescope,2016-07-07,EPIC 211311380,K2-93 e,9.128,2MASS J08262784+1004493,126.616043,10.080378
211311380,126.616038,10.080375,9.128,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIP 41378 c,HIP 41378,c,Transit,5,31.6978,NA,NA,NA,NA,0,1,08h26m27.85s,+10d04m49.4s,126.616043,10.080378,106.61,8.93,V (Johnson),8.81,6199,50,-50,1.15,0.06,-0.06,1.4,0.19,-0.19,0,NA,NA,NA,NA,NA,NA,2.56,0.4,-0.4,NA,NA,0.53,2016,3,106.61,F6,4.18,-0.11,NA,Space,K2,0.95 m Kepler Telescope,2016-07-07,EPIC 211311380,K2-93 c,9.128,2MASS J08262784+1004493,126.616043,10.080378
211311380,126.616038,10.080375,9.128,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIP 41378 d,HIP 41378,d,Transit,5,156,NA,NA,NA,NA,0,1,08h26m27.85s,+10d04m49.4s,126.616043,10.080378,106.61,8.93,V (Johnson),8.81,6199,50,-50,1.15,0.06,-0.06,1.4,0.19,-0.19,0,NA,NA,NA,NA,NA,NA,3.96,0.59,-0.59,NA,0.5295833,0.5,2016,3,106.61,F6,4.18,-0.11,NA,Space,K2,0.95 m Kepler Telescope,2016-07-07,EPIC 211311380,K2-93 d,9.128,2MASS J08262784+1004493,126.616043,10.080378
211311380,126.616038,10.080375,9.128,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIP 41378 f,HIP 41378,f,Transit,5,324,NA,NA,NA,NA,0,1,08h26m27.85s,+10d04m49.4s,126.616043,10.080378,106.61,8.93,V (Johnson),8.81,6199,50,-50,1.15,0.06,-0.06,1.4,0.19,-0.19,0,NA,NA,NA,NA,NA,NA,10.2,1.4,-1.4,NA,0.7915833,0.227,2016,3,106.61,F6,4.18,-0.11,NA,Space,K2,0.95 m Kepler Telescope,2016-07-07,EPIC 211311380,K2-93 f,9.128,2MASS J08262784+1004493,126.616043,10.080378
211311380,126.616038,10.080375,9.128,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIP 41378 b,HIP 41378,b,Transit,5,15.5712,NA,NA,NA,NA,0,1,08h26m27.85s,+10d04m49.4s,126.616043,10.080378,106.61,8.93,V (Johnson),8.81,6199,50,-50,1.15,0.06,-0.06,1.4,0.19,-0.19,0,NA,NA,NA,NA,NA,NA,2.9,0.44,-0.44,NA,NA,0.55,2016,3,106.61,F6,4.18,-0.11,NA,Space,K2,0.95 m Kepler Telescope,2016-07-07,EPIC 211311380,K2-93 b,9.128,2MASS J08262784+1004493,126.616043,10.080378
211311380,126.616035,10.080375,9.128,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIP 41378 e,HIP 41378,e,Transit,5,131,NA,NA,NA,NA,0,1,08h26m27.85s,+10d04m49.4s,126.616043,10.080378,106.61,8.93,V (Johnson),8.81,6199,50,-50,1.15,0.06,-0.06,1.4,0.19,-0.19,0,NA,NA,NA,NA,NA,NA,5.51,0.77,-0.77,NA,0.5419583,0.31,2016,3,106.61,F6,4.18,-0.11,NA,Space,K2,0.95 m Kepler Telescope,2016-07-07,EPIC 211311380,K2-93 e,9.128,2MASS J08262784+1004493,126.616043,10.080378
211311380,126.616035,10.080375,9.128,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIP 41378 c,HIP 41378,c,Transit,5,31.6978,NA,NA,NA,NA,0,1,08h26m27.85s,+10d04m49.4s,126.616043,10.080378,106.61,8.93,V (Johnson),8.81,6199,50,-50,1.15,0.06,-0.06,1.4,0.19,-0.19,0,NA,NA,NA,NA,NA,NA,2.56,0.4,-0.4,NA,NA,0.53,2016,3,106.61,F6,4.18,-0.11,NA,Space,K2,0.95 m Kepler Telescope,2016-07-07,EPIC 211311380,K2-93 c,9.128,2MASS J08262784+1004493,126.616043,10.080378
211311380,126.616035,10.080375,9.128,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIP 41378 d,HIP 41378,d,Transit,5,156,NA,NA,NA,NA,0,1,08h26m27.85s,+10d04m49.4s,126.616043,10.080378,106.61,8.93,V (Johnson),8.81,6199,50,-50,1.15,0.06,-0.06,1.4,0.19,-0.19,0,NA,NA,NA,NA,NA,NA,3.96,0.59,-0.59,NA,0.5295833,0.5,2016,3,106.61,F6,4.18,-0.11,NA,Space,K2,0.95 m Kepler Telescope,2016-07-07,EPIC 211311380,K2-93 d,9.128,2MASS J08262784+1004493,126.616043,10.080378
211311380,126.616035,10.080375,9.128,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIP 41378 f,HIP 41378,f,Transit,5,324,NA,NA,NA,NA,0,1,08h26m27.85s,+10d04m49.4s,126.616043,10.080378,106.61,8.93,V (Johnson),8.81,6199,50,-50,1.15,0.06,-0.06,1.4,0.19,-0.19,0,NA,NA,NA,NA,NA,NA,10.2,1.4,-1.4,NA,0.7915833,0.227,2016,3,106.61,F6,4.18,-0.11,NA,Space,K2,0.95 m Kepler Telescope,2016-07-07,EPIC 211311380,K2-93 f,9.128,2MASS J08262784+1004493,126.616043,10.080378
211311380,126.616035,10.080375,9.128,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HIP 41378 b,HIP 41378,b,Transit,5,15.5712,NA,NA,NA,NA,0,1,08h26m27.85s,+10d04m49.4s,126.616043,10.080378,106.61,8.93,V (Johnson),8.81,6199,50,-50,1.15,0.06,-0.06,1.4,0.19,-0.19,0,NA,NA,NA,NA,NA,NA,2.9,0.44,-0.44,NA,NA,0.55,2016,3,106.61,F6,4.18,-0.11,NA,Space,K2,0.95 m Kepler Telescope,2016-07-07,EPIC 211311380,K2-93 b,9.128,2MASS J08262784+1004493,126.616043,10.080378
211319617,126.463933,10.246968,12.393,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2-180 b,K2-180,b,Transit,1,8.867209,0.0753,0.001,-0.001,NA,0,1,08h25m51.34s,+10d14m49.1s,126.463936,10.246968,204.51,12.601,V (Johnson),12.404,5358,65,-65,0.72,0.03,-0.03,0.72,0.01,-0.01,0,731,NA,NA,NA,NA,NA,2.31,0.16,-0.16,NA,NA,0.42,2018,3,205.09,NA,4.58,-0.54,NA,Space,K2,0.95 m Kepler Telescope,2018-10-26,EPIC 211319617,K2-180 b,12.393,2MASS J08255135+1014491,126.463936,10.246968
211319617,126.463936,10.246968,12.393,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2-180 b,K2-180,b,Transit,1,8.867209,0.0753,0.001,-0.001,NA,0,1,08h25m51.34s,+10d14m49.1s,126.463936,10.246968,204.51,12.601,V (Johnson),12.404,5358,65,-65,0.72,0.03,-0.03,0.72,0.01,-0.01,0,731,NA,NA,NA,NA,NA,2.31,0.16,-0.16,NA,NA,0.42,2018,3,205.09,NA,4.58,-0.54,NA,Space,K2,0.95 m Kepler Telescope,2018-10-26,EPIC 211319617,K2-180 b,12.393,2MASS J08255135+1014491,126.463936,10.246968
211351816,127.762836,10.847586,12.409,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2-97 b,K2-97,b,Transit,1,8.406726,0.086,0.0011,-0.0011,NA,0,1,08h31m03.08s,+10d50m51.3s,127.762833,10.847586,869.76,12.611,V (Johnson),12.306,4717,73,-73,1.2,0.05,-0.05,4.47,0.18,-0.18,0,1499,NA,NA,NA,NA,NA,10.61,0.95,-0.95,NA,NA,0.44,2016,3,901.49,NA,3.22,0.33,NA,Space,K2,0.95 m Kepler Telescope,2018-10-26,EPIC 211351816,K2-97 b,12.409,2MASS J08310308+1050513,127.762833,10.847586
211351816,127.76283,10.847586,12.409,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2-97 b,K2-97,b,Transit,1,8.406726,0.086,0.0011,-0.0011,NA,0,1,08h31m03.08s,+10d50m51.3s,127.762833,10.847586,869.76,12.611,V (Johnson),12.306,4717,73,-73,1.2,0.05,-0.05,4.47,0.18,-0.18,0,1499,NA,NA,NA,NA,NA,10.61,0.95,-0.95,NA,NA,0.44,2016,3,901.49,NA,3.22,0.33,NA,Space,K2,0.95 m Kepler Telescope,2018-10-26,EPIC 211351816,K2-97 b,12.409,2MASS J08310308+1050513,127.762833,10.847586
211355342,127.55403,10.910294,12.637,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2-181 b,K2-181,b,Transit,1,6.894256,0.0706,0.001,-0.001,NA,0,1,08h30m12.97s,+10d54m37.1s,127.554031,10.910294,364.82,12.749,V (Johnson),12.562,5608,91,-91,0.99,0.04,-0.04,1.07,0.02,-0.02,0,962,NA,NA,NA,NA,NA,2.84,0.2,-0.2,NA,NA,0.43,2018,3,364.64,NA,4.38,0.23,NA,Space,K2,0.95 m Kepler Telescope,2018-10-26,EPIC 211355342,K2-181 b,12.637,2MASS J08301297+1054371,127.554031,10.910294
211355342,127.554034,10.910294,12.637,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2-181 b,K2-181,b,Transit,1,6.894256,0.0706,0.001,-0.001,NA,0,1,08h30m12.97s,+10d54m37.1s,127.554031,10.910294,364.82,12.749,V (Johnson),12.562,5608,91,-91,0.99,0.04,-0.04,1.07,0.02,-0.02,0,962,NA,NA,NA,NA,NA,2.84,0.2,-0.2,NA,NA,0.43,2018,3,364.64,NA,4.38,0.23,NA,Space,K2,0.95 m Kepler Telescope,2018-10-26,EPIC 211355342,K2-181 b,12.637,2MASS J08301297+1054371,127.554031,10.910294
211359660,130.18033,10.982941,11.742,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2-182 b,K2-182,b,Transit,1,4.736837,0.0529,3e-4,-3e-4,NA,0,1,08h40m43.28s,+10d58m58.6s,130.180328,10.982941,155.9,11.997,V (Johnson),11.72,5165,50,-50,0.88,0.02,-0.02,0.8,0.01,-0.01,0,885,NA,NA,NA,NA,NA,2.76,0.07,-0.07,NA,NA,0.3,2018,3,155.51,NA,4.58,0.09,NA,Space,K2,0.95 m Kepler Telescope,2018-10-26,EPIC 211359660,K2-182 b,11.742,2MASS J08404327+1058585,130.180328,10.982941
211359660,130.180327,10.982941,11.742,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2-182 b,K2-182,b,Transit,1,4.736837,0.0529,3e-4,-3e-4,NA,0,1,08h40m43.28s,+10d58m58.6s,130.180328,10.982941,155.9,11.997,V (Johnson),11.72,5165,50,-50,0.88,0.02,-0.02,0.8,0.01,-0.01,0,885,NA,NA,NA,NA,NA,2.76,0.07,-0.07,NA,NA,0.3,2018,3,155.51,NA,4.58,0.09,NA,Space,K2,0.95 m Kepler Telescope,2018-10-26,EPIC 211359660,K2-182 b,11.742,2MASS J08404327+1058585,130.180328,10.982941
211391664,126.488289,11.511145,12.102,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2-98 b,K2-98,b,Transit,1,10.136448,0.0974,9e-4,-9e-4,NA,0,1,08h25m57.19s,+11d30m40.1s,126.488289,11.511145,526.31,12.166,V (Johnson),12.04,6172,82,-82,1.2,0.03,-0.03,1.57,0.04,-0.04,0,1092,NA,NA,NA,NA,NA,5.2,0.19,-0.19,NA,NA,0.33,2016,3,526.34,F8 V,4.13,-0.06,NA,Space,K2,0.95 m Kepler Telescope,2018-10-26,EPIC 211391664,K2-98 b,12.102,2MASS J08255719+1130402,126.488289,11.511145
211391664,126.48829,11.511145,12.102,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2-98 b,K2-98,b,Transit,1,10.136448,0.0974,9e-4,-9e-4,NA,0,1,08h25m57.19s,+11d30m40.1s,126.488289,11.511145,526.31,12.166,V (Johnson),12.04,6172,82,-82,1.2,0.03,-0.03,1.57,0.04,-0.04,0,1092,NA,NA,NA,NA,NA,5.2,0.19,-0.19,NA,NA,0.33,2016,3,526.34,F8 V,4.13,-0.06,NA,Space,K2,0.95 m Kepler Telescope,2018-10-26,EPIC 211391664,K2-98 b,12.102,2MASS J08255719+1130402,126.488289,11.511145
211418729,127.882965,11.922265,14.286,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2-114 b,K2-114,b,Transit,1,11.391013,0.0954,0.0011,-0.0011,NA,0,1,08h31m31.91s,+11d55m20.2s,127.882965,11.922265,484.8,14.556,V (Johnson),14.275,5044,68,-68,0.89,0.03,-0.03,0.84,0.02,-0.02,0,661,NA,NA,NA,NA,NA,10.67,0.36,-0.36,NA,NA,0.44,2017,3,482.29,NA,4.54,0.39,NA,Space,K2,0.95 m Kepler Telescope,2018-10-26,EPIC 211418729,K2-114 b,14.286,2MASS J08313191+1155202,127.882965,11.922265
211418729,127.882962,11.922265,14.286,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2-114 b,K2-114,b,Transit,1,11.391013,0.0954,0.0011,-0.0011,NA,0,1,08h31m31.91s,+11d55m20.2s,127.882965,11.922265,484.8,14.556,V (Johnson),14.275,5044,68,-68,0.89,0.03,-0.03,0.84,0.02,-0.02,0,661,NA,NA,NA,NA,NA,10.67,0.36,-0.36,NA,NA,0.44,2017,3,482.29,NA,4.54,0.39,NA,Space,K2,0.95 m Kepler Telescope,2018-10-26,EPIC 211418729,K2-114 b,14.286,2MASS J08313191+1155202,127.882965,11.922265
211442297,126.553444,12.281936,13.192,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2-115 b,K2-115,b,Transit,1,20.272615,0.143,0.0012,-0.0012,NA,0,1,08h26m12.83s,+12d16m55.0s,126.553444,12.281936,418.58,13.362,V (Johnson),13.2,5657,60,-60,0.95,0.02,-0.02,0.88,0.01,-0.01,0,619,NA,NA,NA,NA,NA,12.06,0.22,-0.22,NA,NA,0.6,2017,3,418.57,G4,4.53,-0.1,NA,Space,K2,0.95 m Kepler Telescope,2018-10-26,EPIC 211442297,K2-115 b,13.192,2MASS J08261282+1216550,126.553444,12.281936
212357477,202.016632,-15.93782,10.215,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2-277 b,K2-277,b,Transit,1,6.326763,0.0675,6e-4,-6e-4,NA,0,1,13h28m03.99s,-15d56m16.2s,202.016632,-15.93782,113.53,10.364,V (Johnson),10.121,5741,65,-65,1.02,0.03,-0.03,0.97,0.02,-0.02,0,958,NA,NA,NA,NA,NA,2.07,0.12,-0.12,NA,NA,0.41,2018,3,113.49,NA,4.48,0.11,NA,Space,K2,0.95 m Kepler Telescope,2018-10-26,EPIC 212357477,K2-277 b,10.215,2MASS J13280398-1556162,202.016632,-15.93782
